"Step","fold4 - val_dice_spleen","fold4 - val_dice_spleen__MIN","fold4 - val_dice_spleen__MAX","fold3 - val_dice_spleen","fold3 - val_dice_spleen__MIN","fold3 - val_dice_spleen__MAX","fold2 - val_dice_spleen","fold2 - val_dice_spleen__MIN","fold2 - val_dice_spleen__MAX","fold1 - val_dice_spleen","fold1 - val_dice_spleen__MIN","fold1 - val_dice_spleen__MAX"
"130","0.41072168084080385","0.41072168084080385","0.41072168084080385","0.689646019661518","0.689646019661518","0.689646019661518","0.3935993982184587","0.3935993982184587","0.3935993982184587","0.6655081284963795","0.6655081284963795","0.6655081284963795"
"135","0.49292096003262387","0.49292096003262387","0.49292096003262387","0.7236837544444175","0.7236837544444175","0.7236837544444175","0.46153988586639405","0.46153988586639405","0.46153988586639405","0.6967541617723297","0.6967541617723297","0.6967541617723297"
"140","0.4277201249812998","0.4277201249812998","0.4277201249812998","0.6774687308524552","0.6774687308524552","0.6774687308524552","","","","0.7324849961548873","0.7324849961548873","0.7324849961548873"
"145","0.5208896158219783","0.5208896158219783","0.5208896158219783","0.7089148556687447","0.7089148556687447","0.7089148556687447","","","","0.652678604207878","0.652678604207878","0.652678604207878"
"150","0.4817217935124445","0.4817217935124445","0.4817217935124445","0.7722588726089943","0.7722588726089943","0.7722588726089943","","","","0.6801892066488301","0.6801892066488301","0.6801892066488301"
"155","0.4621446571122301","0.4621446571122301","0.4621446571122301","0.7465545532497124","0.7465545532497124","0.7465545532497124","","","","0.6488148852495564","0.6488148852495564","0.6488148852495564"
"160","0.3506985884072215","0.3506985884072215","0.3506985884072215","0.7255636557694244","0.7255636557694244","0.7255636557694244","","","","0.6736944443480524","0.6736944443480524","0.6736944443480524"
"165","0.45787612062246413","0.45787612062246413","0.45787612062246413","0.7403989877655759","0.7403989877655759","0.7403989877655759","","","","0.689926898504857","0.689926898504857","0.689926898504857"
"170","0.46378785302222525","0.46378785302222525","0.46378785302222525","0.6759992885202372","0.6759992885202372","0.6759992885202372","","","","0.7210723275153569","0.7210723275153569","0.7210723275153569"
"175","0.5006923720997708","0.5006923720997708","0.5006923720997708","0.764466425555749","0.764466425555749","0.764466425555749","","","","0.7060822612084048","0.7060822612084048","0.7060822612084048"
"180","0.4220683003647161","0.4220683003647161","0.4220683003647161","0.7354797860546033","0.7354797860546033","0.7354797860546033","","","","0.7233725092394672","0.7233725092394672","0.7233725092394672"
"185","0.44652919588922435","0.44652919588922435","0.44652919588922435","0.6825890533681198","0.6825890533681198","0.6825890533681198","","","","0.7157547503817083","0.7157547503817083","0.7157547503817083"
"190","0.47369684896037895","0.47369684896037895","0.47369684896037895","0.7176789592766023","0.7176789592766023","0.7176789592766023","","","","0.6996479010126416","0.6996479010126416","0.6996479010126416"
"195","0.46141082978020376","0.46141082978020376","0.46141082978020376","0.7163108042619983","0.7163108042619983","0.7163108042619983","","","","0.6952974361789923","0.6952974361789923","0.6952974361789923"
"200","0.4714514321448043","0.4714514321448043","0.4714514321448043","0.7016218457836846","0.7016218457836846","0.7016218457836846","","","","0.686973475261218","0.686973475261218","0.686973475261218"
