"Step","fold4 - val_dice_left_kidney","fold4 - val_dice_left_kidney__MIN","fold4 - val_dice_left_kidney__MAX","fold3 - val_dice_left_kidney","fold3 - val_dice_left_kidney__MIN","fold3 - val_dice_left_kidney__MAX","fold2 - val_dice_left_kidney","fold2 - val_dice_left_kidney__MIN","fold2 - val_dice_left_kidney__MAX","fold1 - val_dice_left_kidney","fold1 - val_dice_left_kidney__MIN","fold1 - val_dice_left_kidney__MAX"
"55","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"60","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"65","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","5.22127447687226e-9","5.22127447687226e-9","5.22127447687226e-9"
"70","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"75","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"80","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"85","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129375","0.2500000000129375","0.2500000000129375"
"90","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"95","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","5.001293627325286e-8","5.001293627325286e-8","5.001293627325286e-8"
"100","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.00005925374968407248","0.00005925374968407248","0.00005925374968407248"
"105","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.2512906055726115e-8","1.2512906055726115e-8","1.2512906055726115e-8"
"110","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","5.00129351665069e-8","5.00129351665069e-8","5.00129351665069e-8"
"115","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.016307158220048898","0.016307158220048898","0.016307158220048898","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.029377235900764825","0.029377235900764825","0.029377235900764825"
"120","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.01899364568059169","0.01899364568059169","0.01899364568059169"
"125","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.006112364001591528","0.006112364001591528","0.006112364001591528","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.005052308195465218","0.005052308195465218","0.005052308195465218"
"130","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.039669237187084185","0.039669237187084185","0.039669237187084185","0.010890763801510843","0.010890763801510843","0.010890763801510843","0.05897077059231151","0.05897077059231151","0.05897077059231151"
"135","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.17026664234176062","0.17026664234176062","0.17026664234176062","0.07308698734858658","0.07308698734858658","0.07308698734858658","0.033724712858191744","0.033724712858191744","0.033724712858191744"
"140","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.09667402022772904","0.09667402022772904","0.09667402022772904","","","","0.03223996926909392","0.03223996926909392","0.03223996926909392"
"145","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.12313025626906367","0.12313025626906367","0.12313025626906367","","","","0.04333066647901128","0.04333066647901128","0.04333066647901128"
"150","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.2230672936416854","0.2230672936416854","0.2230672936416854","","","","0.06808013506520921","0.06808013506520921","0.06808013506520921"
"155","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.25972345938770247","0.25972345938770247","0.25972345938770247","","","","0.09851724740980333","0.09851724740980333","0.09851724740980333"
"160","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.2916727598512608","0.2916727598512608","0.2916727598512608","","","","0.08753388724259142","0.08753388724259142","0.08753388724259142"
"165","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.32159155317537086","0.32159155317537086","0.32159155317537086","","","","0.09016188542164442","0.09016188542164442","0.09016188542164442"
"170","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.3551409532660001","0.3551409532660001","0.3551409532660001","","","","0.09358084353789917","0.09358084353789917","0.09358084353789917"
"175","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.3847970898161686","0.3847970898161686","0.3847970898161686","","","","0.09938930376991106","0.09938930376991106","0.09938930376991106"
"180","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.38319735502057983","0.38319735502057983","0.38319735502057983","","","","0.10670646828127371","0.10670646828127371","0.10670646828127371"
"185","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.36167353343867087","0.36167353343867087","0.36167353343867087","","","","0.10572286617322244","0.10572286617322244","0.10572286617322244"
"190","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.3557401014874914","0.3557401014874914","0.3557401014874914","","","","0.11243521245237248","0.11243521245237248","0.11243521245237248"
"195","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.34565045427809754","0.34565045427809754","0.34565045427809754","","","","0.11188794747867722","0.11188794747867722","0.11188794747867722"
"200","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","0.34615147140837443","0.34615147140837443","0.34615147140837443","","","","0.11405763280714695","0.11405763280714695","0.11405763280714695"
