"Step","fold4 - val_dice_stomach","fold4 - val_dice_stomach__MIN","fold4 - val_dice_stomach__MAX","fold3 - val_dice_stomach","fold3 - val_dice_stomach__MIN","fold3 - val_dice_stomach__MAX","fold2 - val_dice_stomach","fold2 - val_dice_stomach__MIN","fold2 - val_dice_stomach__MAX","fold1 - val_dice_stomach","fold1 - val_dice_stomach__MIN","fold1 - val_dice_stomach__MAX"
"5","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","0.000038887666283432475","0.000038887666283432475","0.000038887666283432475","0.0009198733212867182","0.0009198733212867182","0.0009198733212867182","0.07056279688062182","0.07056279688062182","0.07056279688062182"
"10","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.145097925186783e-12","9.145097925186783e-12","9.145097925186783e-12","0.00003337351402233539","0.00003337351402233539","0.00003337351402233539","0.0029980039812841537","0.0029980039812841537","0.0029980039812841537"
"15","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","8.040885888747484e-12","8.040885888747484e-12","8.040885888747484e-12","0.000007453463707094817","0.000007453463707094817","0.000007453463707094817"
"20","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.00004389548973717495","0.00004389548973717495","0.00004389548973717495","1.052245648946383e-11","1.052245648946383e-11","1.052245648946383e-11"
"25","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.012716827078144637","0.012716827078144637","0.012716827078144637","1.052245648946383e-11","1.052245648946383e-11","1.052245648946383e-11"
"30","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.0003925330178677679","0.0003925330178677679","0.0003925330178677679","1.052245648946383e-11","1.052245648946383e-11","1.052245648946383e-11"
"35","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.07843766737950983","0.07843766737950983","0.07843766737950983","1.052245648946383e-11","1.052245648946383e-11","1.052245648946383e-11"
"40","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.09373356873548226","0.09373356873548226","0.09373356873548226","0.05936727203555447","0.05936727203555447","0.05936727203555447"
"45","9.687652915076706e-12","9.687652915076706e-12","9.687652915076706e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.0005026859065501181","0.0005026859065501181","0.0005026859065501181","0.006948802570944855","0.006948802570944855","0.006948802570944855"
"50","9.69637206191517e-12","9.69637206191517e-12","9.69637206191517e-12","9.14555800745433e-12","9.14555800745433e-12","9.14555800745433e-12","0.1101063983118044","0.1101063983118044","0.1101063983118044","0.012808942418357469","0.012808942418357469","0.012808942418357469"
"55","0.000011251766609619761","0.000011251766609619761","0.000011251766609619761","0.001145286845186759","0.001145286845186759","0.001145286845186759","0.1148877780871455","0.1148877780871455","0.1148877780871455","0.000019880462726763684","0.000019880462726763684","0.000019880462726763684"
"60","0.04949053467897646","0.04949053467897646","0.04949053467897646","0.00032272462890894536","0.00032272462890894536","0.00032272462890894536","0.1771844372943695","0.1771844372943695","0.1771844372943695","0.0002935241345135234","0.0002935241345135234","0.0002935241345135234"
"65","0.05085552813015203","0.05085552813015203","0.05085552813015203","0.0002952708686538386","0.0002952708686538386","0.0002952708686538386","0.1497914293218805","0.1497914293218805","0.1497914293218805","0.08580639307291729","0.08580639307291729","0.08580639307291729"
"70","0.2587109384396127","0.2587109384396127","0.2587109384396127","0.02443455082043207","0.02443455082043207","0.02443455082043207","0.17465265803337526","0.17465265803337526","0.17465265803337526","0.055201560124012145","0.055201560124012145","0.055201560124012145"
"75","0.25342497921866136","0.25342497921866136","0.25342497921866136","0.10065024483497807","0.10065024483497807","0.10065024483497807","0.11862462110754218","0.11862462110754218","0.11862462110754218","0.14863930678972492","0.14863930678972492","0.14863930678972492"
"80","0.2549679118674531","0.2549679118674531","0.2549679118674531","0.02779309652547482","0.02779309652547482","0.02779309652547482","0.15756838420255015","0.15756838420255015","0.15756838420255015","0.33978221133534836","0.33978221133534836","0.33978221133534836"
