"Step","fold4 - val_dice_stomach","fold4 - val_dice_stomach__MIN","fold4 - val_dice_stomach__MAX","fold3 - val_dice_stomach","fold3 - val_dice_stomach__MIN","fold3 - val_dice_stomach__MAX","fold2 - val_dice_stomach","fold2 - val_dice_stomach__MIN","fold2 - val_dice_stomach__MAX","fold1 - val_dice_stomach","fold1 - val_dice_stomach__MIN","fold1 - val_dice_stomach__MAX"
"85","0.31356187470732494","0.31356187470732494","0.31356187470732494","0.1191603187004782","0.1191603187004782","0.1191603187004782","0.19951636025760625","0.19951636025760625","0.19951636025760625","0.2868392776108629","0.2868392776108629","0.2868392776108629"
"90","0.32603545877678247","0.32603545877678247","0.32603545877678247","0.09490868996284245","0.09490868996284245","0.09490868996284245","0.2656174921519063","0.2656174921519063","0.2656174921519063","0.28346008047011606","0.28346008047011606","0.28346008047011606"
"95","0.35471323400871757","0.35471323400871757","0.35471323400871757","0.3065170172440375","0.3065170172440375","0.3065170172440375","0.25030485886217063","0.25030485886217063","0.25030485886217063","0.39056263023633164","0.39056263023633164","0.39056263023633164"
"100","0.3779603997501835","0.3779603997501835","0.3779603997501835","0.4063532831410989","0.4063532831410989","0.4063532831410989","0.1741518562006576","0.1741518562006576","0.1741518562006576","0.3954328854568228","0.3954328854568228","0.3954328854568228"
"105","0.38675747854353926","0.38675747854353926","0.38675747854353926","0.33047171309476703","0.33047171309476703","0.33047171309476703","0.3365363644887614","0.3365363644887614","0.3365363644887614","0.3156295021709994","0.3156295021709994","0.3156295021709994"
"110","0.480782401846084","0.480782401846084","0.480782401846084","0.19188638378471135","0.19188638378471135","0.19188638378471135","0.2948134733177236","0.2948134733177236","0.2948134733177236","0.42737954129156","0.42737954129156","0.42737954129156"
"115","0.42812703397957214","0.42812703397957214","0.42812703397957214","0.40838491136017413","0.40838491136017413","0.40838491136017413","0.3126390105702022","0.3126390105702022","0.3126390105702022","0.41798424550159746","0.41798424550159746","0.41798424550159746"
"120","0.4556259151656921","0.4556259151656921","0.4556259151656921","0.3530530396013167","0.3530530396013167","0.3530530396013167","0.26051845949203545","0.26051845949203545","0.26051845949203545","0.4557371716833339","0.4557371716833339","0.4557371716833339"
"125","0.4627955840962252","0.4627955840962252","0.4627955840962252","0.385222198261552","0.385222198261552","0.385222198261552","0.31094640876147756","0.31094640876147756","0.31094640876147756","0.49051178479937774","0.49051178479937774","0.49051178479937774"
"130","0.4504084193478776","0.4504084193478776","0.4504084193478776","0.4369166864715048","0.4369166864715048","0.4369166864715048","0.2816964274603597","0.2816964274603597","0.2816964274603597","0.47572674741822174","0.47572674741822174","0.47572674741822174"
"135","0.4698675365047966","0.4698675365047966","0.4698675365047966","0.4693877063391027","0.4693877063391027","0.4693877063391027","0.3151818648490333","0.3151818648490333","0.3151818648490333","0.5113241444313277","0.5113241444313277","0.5113241444313277"
"140","0.49688805097437466","0.49688805097437466","0.49688805097437466","0.3750262530683326","0.3750262530683326","0.3750262530683326","","","","0.5045427450972624","0.5045427450972624","0.5045427450972624"
"145","0.46141378813812545","0.46141378813812545","0.46141378813812545","0.40907192636424194","0.40907192636424194","0.40907192636424194","","","","0.5197070076032531","0.5197070076032531","0.5197070076032531"
"150","0.5462257943496992","0.5462257943496992","0.5462257943496992","0.486310112899329","0.486310112899329","0.486310112899329","","","","0.4789531615839623","0.4789531615839623","0.4789531615839623"
"155","0.5342025946597717","0.5342025946597717","0.5342025946597717","0.5236856464382523","0.5236856464382523","0.5236856464382523","","","","0.5091969838802932","0.5091969838802932","0.5091969838802932"
"160","0.548767698216848","0.548767698216848","0.548767698216848","0.5474999045151651","0.5474999045151651","0.5474999045151651","","","","0.52244638549514","0.52244638549514","0.52244638549514"
"165","0.5446099105962471","0.5446099105962471","0.5446099105962471","0.5017304200823534","0.5017304200823534","0.5017304200823534","","","","0.5292540065205261","0.5292540065205261","0.5292540065205261"
"170","0.5492621964476557","0.5492621964476557","0.5492621964476557","0.5486480133133335","0.5486480133133335","0.5486480133133335","","","","0.5397849786601908","0.5397849786601908","0.5397849786601908"
"175","0.559395317199565","0.559395317199565","0.559395317199565","0.5583268888895058","0.5583268888895058","0.5583268888895058","","","","0.5447398130671894","0.5447398130671894","0.5447398130671894"
"180","0.568324399178518","0.568324399178518","0.568324399178518","0.5484548423835359","0.5484548423835359","0.5484548423835359","","","","0.5491580107888446","0.5491580107888446","0.5491580107888446"
"185","0.5540744792472703","0.5540744792472703","0.5540744792472703","0.5658396188442862","0.5658396188442862","0.5658396188442862","","","","0.5399120808204289","0.5399120808204289","0.5399120808204289"
"190","0.5663687612611543","0.5663687612611543","0.5663687612611543","0.5652415166638012","0.5652415166638012","0.5652415166638012","","","","0.539099198296368","0.539099198296368","0.539099198296368"
"195","0.5850261472453298","0.5850261472453298","0.5850261472453298","0.5614256385668153","0.5614256385668153","0.5614256385668153","","","","0.5383355991990896","0.5383355991990896","0.5383355991990896"
"200","0.5773667253375724","0.5773667253375724","0.5773667253375724","0.5682792629113242","0.5682792629113242","0.5682792629113242","","","","0.5370526416453812","0.5370526416453812","0.5370526416453812"
