"Step","fold4 - val_dice_aorta","fold4 - val_dice_aorta__MIN","fold4 - val_dice_aorta__MAX","fold3 - val_dice_aorta","fold3 - val_dice_aorta__MIN","fold3 - val_dice_aorta__MAX","fold2 - val_dice_aorta","fold2 - val_dice_aorta__MIN","fold2 - val_dice_aorta__MAX","fold1 - val_dice_aorta","fold1 - val_dice_aorta__MIN","fold1 - val_dice_aorta__MAX"
"125","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"130","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.674417630885997e-11","3.674417630885997e-11","3.674417630885997e-11"
"135","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","0.00012374328326640233","0.00012374328326640233","0.00012374328326640233","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.673785437144232e-11","3.673785437144232e-11","3.673785437144232e-11"
"140","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","","","","3.674154208355125e-11","3.674154208355125e-11","3.674154208355125e-11"
"145","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","","","","3.673980862175553e-11","3.673980862175553e-11","3.673980862175553e-11"
"150","4.2528640563361545e-11","4.2528640563361545e-11","4.2528640563361545e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","","","","3.67431587385706e-11","3.67431587385706e-11","3.67431587385706e-11"
"155","4.2528640563361545e-11","4.2528640563361545e-11","4.2528640563361545e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","","","","3.6725754082303764e-11","3.6725754082303764e-11","3.6725754082303764e-11"
"160","4.252805717769623e-11","4.252805717769623e-11","4.252805717769623e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","","","","0.000021344753868387035","0.000021344753868387035","0.000021344753868387035"
"165","4.2528640563361545e-11","4.2528640563361545e-11","4.2528640563361545e-11","0.00006187740955306657","0.00006187740955306657","0.00006187740955306657","","","","0.0008944544194726038","0.0008944544194726038","0.0008944544194726038"
"170","4.252805717769623e-11","4.252805717769623e-11","4.252805717769623e-11","0.0016577046907856373","0.0016577046907856373","0.0016577046907856373","","","","0.000021355693845417578","0.000021355693845417578","0.000021355693845417578"
"175","4.252339184897159e-11","4.252339184897159e-11","4.252339184897159e-11","0.00015467191411357804","0.00015467191411357804","0.00015467191411357804","","","","0.0004902588080458515","0.0004902588080458515","0.0004902588080458515"
"180","4.25268905527855e-11","4.25268905527855e-11","4.25268905527855e-11","0.0004638004307670972","0.0004638004307670972","0.0004638004307670972","","","","0.0002774221450914578","0.0002774221450914578","0.0002774221450914578"
"185","4.25268905527855e-11","4.25268905527855e-11","4.25268905527855e-11","0.00012374328326640233","0.00012374328326640233","0.00012374328326640233","","","","0.0006610090348955504","0.0006610090348955504","0.0006610090348955504"
"190","4.252455788847215e-11","4.252455788847215e-11","4.252455788847215e-11","0.00006187740955306657","0.00006187740955306657","0.00006187740955306657","","","","0.0005542056042876025","0.0005542056042876025","0.0005542056042876025"
"195","4.252514098137728e-11","4.252514098137728e-11","4.252514098137728e-11","0.00006187740955306657","0.00006187740955306657","0.00006187740955306657","","","","0.0005542292317499378","0.0005542292317499378","0.0005542292317499378"
"200","4.252455788847215e-11","4.252455788847215e-11","4.252455788847215e-11","0.00006187740955306657","0.00006187740955306657","0.00006187740955306657","","","","0.0006606709372934833","0.0006606709372934833","0.0006606709372934833"
