"Step","fold4 - val_dice_liver","fold4 - val_dice_liver__MIN","fold4 - val_dice_liver__MAX","fold3 - val_dice_liver","fold3 - val_dice_liver__MIN","fold3 - val_dice_liver__MAX","fold2 - val_dice_liver","fold2 - val_dice_liver__MIN","fold2 - val_dice_liver__MAX","fold1 - val_dice_liver","fold1 - val_dice_liver__MIN","fold1 - val_dice_liver__MAX"
"150","0.8177640082731273","0.8177640082731273","0.8177640082731273","0.8848696242720452","0.8848696242720452","0.8848696242720452","","","","0.8863835965575093","0.8863835965575093","0.8863835965575093"
"155","0.8303753611131431","0.8303753611131431","0.8303753611131431","0.925560995172051","0.925560995172051","0.925560995172051","","","","0.8851818774214419","0.8851818774214419","0.8851818774214419"
"160","0.808698561353987","0.808698561353987","0.808698561353987","0.9131842876351719","0.9131842876351719","0.9131842876351719","","","","0.8925151222095004","0.8925151222095004","0.8925151222095004"
"165","0.8257373577766197","0.8257373577766197","0.8257373577766197","0.9182086170835512","0.9182086170835512","0.9182086170835512","","","","0.8943888388944667","0.8943888388944667","0.8943888388944667"
"170","0.834160399893897","0.834160399893897","0.834160399893897","0.892956782781522","0.892956782781522","0.892956782781522","","","","0.8915864632958984","0.8915864632958984","0.8915864632958984"
"175","0.8315374026554191","0.8315374026554191","0.8315374026554191","0.8987801627811255","0.8987801627811255","0.8987801627811255","","","","0.8968447904089297","0.8968447904089297","0.8968447904089297"
"180","0.832163045977758","0.832163045977758","0.832163045977758","0.8930561225909349","0.8930561225909349","0.8930561225909349","","","","0.8918261573879835","0.8918261573879835","0.8918261573879835"
"185","0.8331284059231298","0.8331284059231298","0.8331284059231298","0.8944055557923297","0.8944055557923297","0.8944055557923297","","","","0.889822574686714","0.889822574686714","0.889822574686714"
"190","0.8321765780219339","0.8321765780219339","0.8321765780219339","0.9058713942102393","0.9058713942102393","0.9058713942102393","","","","0.8901032071243298","0.8901032071243298","0.8901032071243298"
"195","0.8344452858963306","0.8344452858963306","0.8344452858963306","0.9057910037707836","0.9057910037707836","0.9057910037707836","","","","0.8932126281092713","0.8932126281092713","0.8932126281092713"
"200","0.8349825583280982","0.8349825583280982","0.8349825583280982","0.898432101942877","0.898432101942877","0.898432101942877","","","","0.8951837534725253","0.8951837534725253","0.8951837534725253"
