"Step","fold4 - val_dice_spleen","fold4 - val_dice_spleen__MIN","fold4 - val_dice_spleen__MAX","fold3 - val_dice_spleen","fold3 - val_dice_spleen__MIN","fold3 - val_dice_spleen__MAX","fold2 - val_dice_spleen","fold2 - val_dice_spleen__MIN","fold2 - val_dice_spleen__MAX","fold1 - val_dice_spleen","fold1 - val_dice_spleen__MIN","fold1 - val_dice_spleen__MAX","fold0 - val_dice_spleen","fold0 - val_dice_spleen__MIN","fold0 - val_dice_spleen__MAX"
"5","0.000005631402396922905","0.000005631402396922905","0.000005631402396922905","0.0066615687564289304","0.0066615687564289304","0.0066615687564289304","0.000250212278123655","0.000250212278123655","0.000250212278123655","0.03118579666511989","0.03118579666511989","0.03118579666511989","0.0003384253326596972","0.0003384253326596972","0.0003384253326596972"
"10","1.0898429306224124e-11","1.0898429306224124e-11","1.0898429306224124e-11","0.00014691362411715805","0.00014691362411715805","0.00014691362411715805","0.25000000001472455","0.25000000001472455","0.25000000001472455","0.000030315210833057074","0.000030315210833057074","0.000030315210833057074","0.00001151939251202408","0.00001151939251202408","0.00001151939251202408"
"15","1.0898328207357395e-11","1.0898328207357395e-11","1.0898328207357395e-11","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.25000000001472455","0.25000000001472455","0.25000000001472455","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11","2.2743557532044618e-8","2.2743557532044618e-8","2.2743557532044618e-8"
"20","0.000017220606729639377","0.000017220606729639377","0.000017220606729639377","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.2500000000147242","0.2500000000147242","0.2500000000147242","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11","0.25000000001628697","0.25000000001628697","0.25000000001628697"
"25","0.00007109437551386623","0.00007109437551386623","0.00007109437551386623","1.297898401850136e-11","1.297898401850136e-11","1.297898401850136e-11","0.25000000001472455","0.25000000001472455","0.25000000001472455","1.5975665238743154e-11","1.5975665238743154e-11","1.5975665238743154e-11","6.251627099310685e-8","6.251627099310685e-8","6.251627099310685e-8"
"30","0.000017221199847823833","0.000017221199847823833","0.000017221199847823833","0.000006877899541726923","0.000006877899541726923","0.000006877899541726923","0.2500000000147235","0.2500000000147235","0.2500000000147235","0.0000049620563666001565","0.0000049620563666001565","0.0000049620563666001565","0.2500000000162872","0.2500000000162872","0.2500000000162872"
"35","0.000017220606730238968","0.000017220606730238968","0.000017220606730238968","1.2978948536946326e-11","1.2978948536946326e-11","1.2978948536946326e-11","0.2500043608855016","0.2500043608855016","0.2500043608855016","0.000010069520275142651","0.000010069520275142651","0.000010069520275142651","0.00002319996698170142","0.00002319996698170142","0.00002319996698170142"
"40","0.000551783493577679","0.000551783493577679","0.000551783493577679","0.0013773304893200215","0.0013773304893200215","0.0013773304893200215","0.25000000001472394","0.25000000001472394","0.25000000001472394","0.00005655729534157163","0.00005655729534157163","0.00005655729534157163","0.00013494823277421524","0.00013494823277421524","0.00013494823277421524"
"45","0.0006294281320157785","0.0006294281320157785","0.0006294281320157785","0.0008524054494032193","0.0008524054494032193","0.0008524054494032193","0.000004485847404457641","0.000004485847404457641","0.000004485847404457641","0.0010487431146793285","0.0010487431146793285","0.0010487431146793285","0.000025735909450083083","0.000025735909450083083","0.000025735909450083083"
"50","0.02066956231045099","0.02066956231045099","0.02066956231045099","0.00021068905147409852","0.00021068905147409852","0.00021068905147409852","0.0007058212400800549","0.0007058212400800549","0.0007058212400800549","0.0003763726197225445","0.0003763726197225445","0.0003763726197225445","0.00006085523197566944","0.00006085523197566944","0.00006085523197566944"
