"Step","fold4 - val_dice_liver","fold4 - val_dice_liver__MIN","fold4 - val_dice_liver__MAX","fold3 - val_dice_liver","fold3 - val_dice_liver__MIN","fold3 - val_dice_liver__MAX","fold2 - val_dice_liver","fold2 - val_dice_liver__MIN","fold2 - val_dice_liver__MAX","fold1 - val_dice_liver","fold1 - val_dice_liver__MIN","fold1 - val_dice_liver__MAX","fold0 - val_dice_liver","fold0 - val_dice_liver__MIN","fold0 - val_dice_liver__MAX"
"5","0.436200004423794","0.436200004423794","0.436200004423794","0.37428250613500785","0.37428250613500785","0.37428250613500785","0.19851862269869416","0.19851862269869416","0.19851862269869416","0.09666585613413053","0.09666585613413053","0.09666585613413053","0.16020294430474918","0.16020294430474918","0.16020294430474918"
"10","0.6068732308902037","0.6068732308902037","0.6068732308902037","0.6052763916902878","0.6052763916902878","0.6052763916902878","0.5761255508029095","0.5761255508029095","0.5761255508029095","0.5143829572879667","0.5143829572879667","0.5143829572879667","0.5186069126322688","0.5186069126322688","0.5186069126322688"
"15","0.6181674303195397","0.6181674303195397","0.6181674303195397","0.7019665181441096","0.7019665181441096","0.7019665181441096","0.6427738531588044","0.6427738531588044","0.6427738531588044","0.5202327300677627","0.5202327300677627","0.5202327300677627","0.6886407552547561","0.6886407552547561","0.6886407552547561"
"20","0.6432588803159072","0.6432588803159072","0.6432588803159072","0.7530911650954607","0.7530911650954607","0.7530911650954607","0.6330832200791373","0.6330832200791373","0.6330832200791373","0.6951752388431357","0.6951752388431357","0.6951752388431357","0.6813797538506104","0.6813797538506104","0.6813797538506104"
"25","0.7222224812876917","0.7222224812876917","0.7222224812876917","0.7936184419470914","0.7936184419470914","0.7936184419470914","0.7452722381768954","0.7452722381768954","0.7452722381768954","0.7333201955683062","0.7333201955683062","0.7333201955683062","0.6568891578592658","0.6568891578592658","0.6568891578592658"
"30","0.7323664391173085","0.7323664391173085","0.7323664391173085","0.8245029307203096","0.8245029307203096","0.8245029307203096","0.7454886331520658","0.7454886331520658","0.7454886331520658","0.739059340092366","0.739059340092366","0.739059340092366","0.7358878580386362","0.7358878580386362","0.7358878580386362"
"35","0.7247067447078592","0.7247067447078592","0.7247067447078592","0.808416369844802","0.808416369844802","0.808416369844802","0.7762822861920803","0.7762822861920803","0.7762822861920803","0.783743218777459","0.783743218777459","0.783743218777459","0.758816510457161","0.758816510457161","0.758816510457161"
"40","0.729855802297469","0.729855802297469","0.729855802297469","0.8215963889085062","0.8215963889085062","0.8215963889085062","0.7427046218803198","0.7427046218803198","0.7427046218803198","0.7921210180944576","0.7921210180944576","0.7921210180944576","0.758222166988626","0.758222166988626","0.758222166988626"
"45","0.7869063456867526","0.7869063456867526","0.7869063456867526","0.8711185157661405","0.8711185157661405","0.8711185157661405","0.7913642306689371","0.7913642306689371","0.7913642306689371","0.7964340263828042","0.7964340263828042","0.7964340263828042","0.8071877487558338","0.8071877487558338","0.8071877487558338"
"50","0.7549520295695841","0.7549520295695841","0.7549520295695841","0.8797514980784529","0.8797514980784529","0.8797514980784529","0.7749629441658034","0.7749629441658034","0.7749629441658034","0.8417476378999069","0.8417476378999069","0.8417476378999069","0.8178052376250893","0.8178052376250893","0.8178052376250893"
"55","0.7631539483762572","0.7631539483762572","0.7631539483762572","0.7140812636266972","0.7140812636266972","0.7140812636266972","0.8127379512687146","0.8127379512687146","0.8127379512687146","0.8299360233733621","0.8299360233733621","0.8299360233733621","0.8411684526330334","0.8411684526330334","0.8411684526330334"
"60","0.7242042125928827","0.7242042125928827","0.7242042125928827","0.8375081293410522","0.8375081293410522","0.8375081293410522","0.789456953938546","0.789456953938546","0.789456953938546","0.8437134135330554","0.8437134135330554","0.8437134135330554","0.7907861252722016","0.7907861252722016","0.7907861252722016"
"65","0.7708975769205119","0.7708975769205119","0.7708975769205119","0.8545450181128474","0.8545450181128474","0.8545450181128474","0.7897041793038213","0.7897041793038213","0.7897041793038213","0.8458806165993655","0.8458806165993655","0.8458806165993655","0.8285333141377752","0.8285333141377752","0.8285333141377752"
"70","0.7674554383166153","0.7674554383166153","0.7674554383166153","0.8516767306071564","0.8516767306071564","0.8516767306071564","0.8085076376737699","0.8085076376737699","0.8085076376737699","0.8621529699365758","0.8621529699365758","0.8621529699365758","0.8231291889381395","0.8231291889381395","0.8231291889381395"
"75","0.7972477639997283","0.7972477639997283","0.7972477639997283","0.8543583714099087","0.8543583714099087","0.8543583714099087","0.8040772856602413","0.8040772856602413","0.8040772856602413","0.877364940653563","0.877364940653563","0.877364940653563","0.8325747685229627","0.8325747685229627","0.8325747685229627"
"80","0.7425743461398618","0.7425743461398618","0.7425743461398618","0.8783952141446951","0.8783952141446951","0.8783952141446951","0.8219795678335483","0.8219795678335483","0.8219795678335483","0.854005769736519","0.854005769736519","0.854005769736519","0.847989571285075","0.847989571285075","0.847989571285075"
"85","0.7612801736968001","0.7612801736968001","0.7612801736968001","0.872044443816426","0.872044443816426","0.872044443816426","0.8218565981297434","0.8218565981297434","0.8218565981297434","0.855710991236279","0.855710991236279","0.855710991236279","0.8613632940016818","0.8613632940016818","0.8613632940016818"
"90","0.7889164017765108","0.7889164017765108","0.7889164017765108","0.8807321160950107","0.8807321160950107","0.8807321160950107","0.8112593709562872","0.8112593709562872","0.8112593709562872","0.8635861392808206","0.8635861392808206","0.8635861392808206","0.8735614134656763","0.8735614134656763","0.8735614134656763"
"95","0.8261672692842259","0.8261672692842259","0.8261672692842259","0.8802194236422037","0.8802194236422037","0.8802194236422037","0.8062469052152786","0.8062469052152786","0.8062469052152786","0.8786366296376703","0.8786366296376703","0.8786366296376703","0.8397565676614351","0.8397565676614351","0.8397565676614351"
"100","0.7995791787087646","0.7995791787087646","0.7995791787087646","0.8996313348553008","0.8996313348553008","0.8996313348553008","0.8224159355801256","0.8224159355801256","0.8224159355801256","0.8759756972175923","0.8759756972175923","0.8759756972175923","0.8459006416775462","0.8459006416775462","0.8459006416775462"
"105","0.805789866851487","0.805789866851487","0.805789866851487","0.8667966597150931","0.8667966597150931","0.8667966597150931","0.8463469030865083","0.8463469030865083","0.8463469030865083","0.8658585383791267","0.8658585383791267","0.8658585383791267","0.8235606051910147","0.8235606051910147","0.8235606051910147"
"110","0.8000160429597497","0.8000160429597497","0.8000160429597497","0.8952339769146143","0.8952339769146143","0.8952339769146143","0.8416361636369394","0.8416361636369394","0.8416361636369394","0.8718554689167337","0.8718554689167337","0.8718554689167337","0.8603311795123021","0.8603311795123021","0.8603311795123021"
"115","0.7995328660358357","0.7995328660358357","0.7995328660358357","0.87108319337379","0.87108319337379","0.87108319337379","0.8511365744507139","0.8511365744507139","0.8511365744507139","0.8548678864521546","0.8548678864521546","0.8548678864521546","0.8750905966570786","0.8750905966570786","0.8750905966570786"
"120","0.7935155663775063","0.7935155663775063","0.7935155663775063","0.9085311481629922","0.9085311481629922","0.9085311481629922","0.8609339022643923","0.8609339022643923","0.8609339022643923","0.8822434174265075","0.8822434174265075","0.8822434174265075","0.8824826708246825","0.8824826708246825","0.8824826708246825"
"125","0.8380920514377541","0.8380920514377541","0.8380920514377541","0.9026393849987171","0.9026393849987171","0.9026393849987171","0.8475778680592072","0.8475778680592072","0.8475778680592072","0.8915428938230603","0.8915428938230603","0.8915428938230603","0.8637650197892763","0.8637650197892763","0.8637650197892763"
"130","0.7756563465476946","0.7756563465476946","0.7756563465476946","0.8733532174573316","0.8733532174573316","0.8733532174573316","0.8536920136419803","0.8536920136419803","0.8536920136419803","0.8997849429035583","0.8997849429035583","0.8997849429035583","0.8852598556731192","0.8852598556731192","0.8852598556731192"
"135","0.8162057816726573","0.8162057816726573","0.8162057816726573","0.8860856462544873","0.8860856462544873","0.8860856462544873","0.8609193942836655","0.8609193942836655","0.8609193942836655","0.8965728571151944","0.8965728571151944","0.8965728571151944","0.8778763865794983","0.8778763865794983","0.8778763865794983"
"140","0.8070857031988298","0.8070857031988298","0.8070857031988298","0.9068680339934757","0.9068680339934757","0.9068680339934757","0.8545098005177608","0.8545098005177608","0.8545098005177608","0.8956486620271233","0.8956486620271233","0.8956486620271233","0.874041869677443","0.874041869677443","0.874041869677443"
"145","0.8001753776564334","0.8001753776564334","0.8001753776564334","0.9145471762022258","0.9145471762022258","0.9145471762022258","0.8651725147313879","0.8651725147313879","0.8651725147313879","0.8757128293158027","0.8757128293158027","0.8757128293158027","0.8685350395185232","0.8685350395185232","0.8685350395185232"
"150","0.8121073896574735","0.8121073896574735","0.8121073896574735","0.9133572290076467","0.9133572290076467","0.9133572290076467","0.859479970681725","0.859479970681725","0.859479970681725","0.9013657450290815","0.9013657450290815","0.9013657450290815","0.8848334212487887","0.8848334212487887","0.8848334212487887"
"155","0.8198787622279134","0.8198787622279134","0.8198787622279134","0.9139934825599284","0.9139934825599284","0.9139934825599284","0.8677273502897388","0.8677273502897388","0.8677273502897388","0.9018360598182745","0.9018360598182745","0.9018360598182745","0.8816997643618136","0.8816997643618136","0.8816997643618136"
"160","0.8207252578558419","0.8207252578558419","0.8207252578558419","0.9069085211406914","0.9069085211406914","0.9069085211406914","0.8700839068455921","0.8700839068455921","0.8700839068455921","0.8978747299027805","0.8978747299027805","0.8978747299027805","0.8971662756208972","0.8971662756208972","0.8971662756208972"
"165","0.8412844545131289","0.8412844545131289","0.8412844545131289","0.9138978005844153","0.9138978005844153","0.9138978005844153","0.8679032742671998","0.8679032742671998","0.8679032742671998","0.9004241445997095","0.9004241445997095","0.9004241445997095","0.8797089703376733","0.8797089703376733","0.8797089703376733"
"170","0.8162361401569065","0.8162361401569065","0.8162361401569065","0.9161658075563425","0.9161658075563425","0.9161658075563425","0.8691743970412578","0.8691743970412578","0.8691743970412578","0.8945573821729979","0.8945573821729979","0.8945573821729979","0.8879867899679752","0.8879867899679752","0.8879867899679752"
"175","0.8273696105400331","0.8273696105400331","0.8273696105400331","0.9136370142537982","0.9136370142537982","0.9136370142537982","0.8710602293528995","0.8710602293528995","0.8710602293528995","0.8912799373257738","0.8912799373257738","0.8912799373257738","0.8905197190171814","0.8905197190171814","0.8905197190171814"
"180","0.8368813146340072","0.8368813146340072","0.8368813146340072","0.9128412451611873","0.9128412451611873","0.9128412451611873","0.8725420560284614","0.8725420560284614","0.8725420560284614","0.8890833839065352","0.8890833839065352","0.8890833839065352","0.8883507608817924","0.8883507608817924","0.8883507608817924"
"185","0.8304816968398062","0.8304816968398062","0.8304816968398062","0.9107908281515661","0.9107908281515661","0.9107908281515661","0.8731625465047326","0.8731625465047326","0.8731625465047326","0.8895938610667046","0.8895938610667046","0.8895938610667046","0.8906932987355082","0.8906932987355082","0.8906932987355082"
"190","0.8244677295621884","0.8244677295621884","0.8244677295621884","0.9125678818401682","0.9125678818401682","0.9125678818401682","0.8739162534006022","0.8739162534006022","0.8739162534006022","0.8939795506935734","0.8939795506935734","0.8939795506935734","0.8851390424270648","0.8851390424270648","0.8851390424270648"
"195","0.8251968596324805","0.8251968596324805","0.8251968596324805","0.9148080792898424","0.9148080792898424","0.9148080792898424","0.8738071347477177","0.8738071347477177","0.8738071347477177","0.8945352260603086","0.8945352260603086","0.8945352260603086","0.8855249522399746","0.8855249522399746","0.8855249522399746"
"200","0.8245917337504819","0.8245917337504819","0.8245917337504819","0.9133046504900092","0.9133046504900092","0.9133046504900092","0.8740607516442098","0.8740607516442098","0.8740607516442098","0.8935488333010557","0.8935488333010557","0.8935488333010557","0.8894872290566862","0.8894872290566862","0.8894872290566862"
