"Step","fold4 - val_dice_stomach","fold4 - val_dice_stomach__MIN","fold4 - val_dice_stomach__MAX","fold3 - val_dice_stomach","fold3 - val_dice_stomach__MIN","fold3 - val_dice_stomach__MAX","fold2 - val_dice_stomach","fold2 - val_dice_stomach__MIN","fold2 - val_dice_stomach__MAX","fold1 - val_dice_stomach","fold1 - val_dice_stomach__MIN","fold1 - val_dice_stomach__MAX","fold0 - val_dice_stomach","fold0 - val_dice_stomach__MIN","fold0 - val_dice_stomach__MAX"
"5","9.696224430372847e-12","9.696224430372847e-12","9.696224430372847e-12","0.000014691480712058339","0.000014691480712058339","0.000014691480712058339","8.040727384744145e-12","8.040727384744145e-12","8.040727384744145e-12","0.000009837098773684645","0.000009837098773684645","0.000009837098773684645","0.04291720956303504","0.04291720956303504","0.04291720956303504"
"10","9.695765229945052e-12","9.695765229945052e-12","9.695765229945052e-12","9.145153041827259e-12","9.145153041827259e-12","9.145153041827259e-12","0.000004769817671313177","0.000004769817671313177","0.000004769817671313177","0.000006626476627018058","0.000006626476627018058","0.000006626476627018058","0.0039873027242260505","0.0039873027242260505","0.0039873027242260505"
"15","9.694443766763777e-12","9.694443766763777e-12","9.694443766763777e-12","0.000041206960755566986","0.000041206960755566986","0.000041206960755566986","0.00006900895609027299","0.00006900895609027299","0.00006900895609027299","0.00003614869267051682","0.00003614869267051682","0.00003614869267051682","1.3328172637365578e-11","1.3328172637365578e-11","1.3328172637365578e-11"
"20","0.000042932408884745806","0.000042932408884745806","0.000042932408884745806","0.0011601924072236452","0.0011601924072236452","0.0011601924072236452","0.005237437025368849","0.005237437025368849","0.005237437025368849","0.00036367962637008953","0.00036367962637008953","0.00036367962637008953","1.3326424521509681e-11","1.3326424521509681e-11","1.3326424521509681e-11"
"25","0.0030016017891444768","0.0030016017891444768","0.0030016017891444768","0.000034340196778277815","0.000034340196778277815","0.000034340196778277815","0.008519025893477543","0.008519025893477543","0.008519025893477543","0.0026066635115781635","0.0026066635115781635","0.0026066635115781635","0.00016487179912896653","0.00016487179912896653","0.00016487179912896653"
"30","0.014419643959981255","0.014419643959981255","0.014419643959981255","0.0009140156186413701","0.0009140156186413701","0.0009140156186413701","0.007805710179653823","0.007805710179653823","0.007805710179653823","0.006022866192493965","0.006022866192493965","0.006022866192493965","0.002511810101406889","0.002511810101406889","0.002511810101406889"
"35","0.015041469834954845","0.015041469834954845","0.015041469834954845","0.0003973193845634871","0.0003973193845634871","0.0003973193845634871","0.01229336225790506","0.01229336225790506","0.01229336225790506","0.0034158158093215204","0.0034158158093215204","0.0034158158093215204","0.02100475556642362","0.02100475556642362","0.02100475556642362"
"40","0.045509262641561334","0.045509262641561334","0.045509262641561334","0.0026000842402926455","0.0026000842402926455","0.0026000842402926455","0.035326825122371806","0.035326825122371806","0.035326825122371806","0.004718118119759446","0.004718118119759446","0.004718118119759446","0.048681974557458166","0.048681974557458166","0.048681974557458166"
"45","0.011053732028837497","0.011053732028837497","0.011053732028837497","0.01232149834627426","0.01232149834627426","0.01232149834627426","0.039929997113534885","0.039929997113534885","0.039929997113534885","0.01294994764108602","0.01294994764108602","0.01294994764108602","0.009017508620466979","0.009017508620466979","0.009017508620466979"
"50","0.12052461569832795","0.12052461569832795","0.12052461569832795","0.005469481159389341","0.005469481159389341","0.005469481159389341","0.07714691170601391","0.07714691170601391","0.07714691170601391","0.01698281239468945","0.01698281239468945","0.01698281239468945","0.05569389768785175","0.05569389768785175","0.05569389768785175"
"55","0.10203195877797687","0.10203195877797687","0.10203195877797687","0.09796107619467685","0.09796107619467685","0.09796107619467685","0.12986754725347235","0.12986754725347235","0.12986754725347235","0.010725433281960508","0.010725433281960508","0.010725433281960508","0.053174867442324095","0.053174867442324095","0.053174867442324095"
"60","0.06697599489189972","0.06697599489189972","0.06697599489189972","0.0027159754232538758","0.0027159754232538758","0.0027159754232538758","0.14373529099376328","0.14373529099376328","0.14373529099376328","0.04314885625867114","0.04314885625867114","0.04314885625867114","0.11384140158385617","0.11384140158385617","0.11384140158385617"
