"Step","fold4 - val_dice_right_kidney","fold4 - val_dice_right_kidney__MIN","fold4 - val_dice_right_kidney__MAX","fold3 - val_dice_right_kidney","fold3 - val_dice_right_kidney__MIN","fold3 - val_dice_right_kidney__MAX","fold2 - val_dice_right_kidney","fold2 - val_dice_right_kidney__MIN","fold2 - val_dice_right_kidney__MAX","fold1 - val_dice_right_kidney","fold1 - val_dice_right_kidney__MIN","fold1 - val_dice_right_kidney__MAX","fold0 - val_dice_right_kidney","fold0 - val_dice_right_kidney__MIN","fold0 - val_dice_right_kidney__MAX"
"70","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4942959648247644e-11","5.4942959648247644e-11","5.4942959648247644e-11"
"75","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"80","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7756213117182105e-11","4.7756213117182105e-11","4.7756213117182105e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"85","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.727962108504327e-11","4.727962108504327e-11","4.727962108504327e-11","4.7757461137646343e-11","4.7757461137646343e-11","4.7757461137646343e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"90","6.415365681162914e-11","6.415365681162914e-11","6.415365681162914e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7756213117182105e-11","4.7756213117182105e-11","4.7756213117182105e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4942158908312786e-11","5.4942158908312786e-11","5.4942158908312786e-11"
"95","6.415176313270613e-11","6.415176313270613e-11","6.415176313270613e-11","4.727982842526668e-11","4.727982842526668e-11","4.727982842526668e-11","4.775828731819702e-11","4.775828731819702e-11","4.775828731819702e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"100","6.416455613110583e-11","6.416455613110583e-11","6.416455613110583e-11","4.727909270785734e-11","4.727909270785734e-11","4.727909270785734e-11","4.775796303830012e-11","4.775796303830012e-11","4.775796303830012e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"105","6.414726281809675e-11","6.414726281809675e-11","6.414726281809675e-11","4.7278000468566054e-11","4.7278000468566054e-11","4.7278000468566054e-11","4.775828731819702e-11","4.775828731819702e-11","4.775828731819702e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"110","6.414028394729944e-11","6.414028394729944e-11","6.414028394729944e-11","4.7279471972518116e-11","4.7279471972518116e-11","4.7279471972518116e-11","4.7757461137646343e-11","4.7757461137646343e-11","4.7757461137646343e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4944677443484625e-11","5.4944677443484625e-11","5.4944677443484625e-11"
"115","6.41562642365683e-11","6.41562642365683e-11","6.41562642365683e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.494341808652556e-11","5.494341808652556e-11","5.494341808652556e-11"
"120","0.00002132111655599423","0.00002132111655599423","0.00002132111655599423","4.727422881263497e-11","4.727422881263497e-11","4.727422881263497e-11","4.775579118044652e-11","4.775579118044652e-11","4.775579118044652e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"125","6.415011855040859e-11","6.415011855040859e-11","6.415011855040859e-11","4.7274850604274744e-11","4.7274850604274744e-11","4.7274850604274744e-11","4.775828731819702e-11","4.775828731819702e-11","4.775828731819702e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000027603013976816883","0.000027603013976816883","0.000027603013976816883"
"130","0.00010789655461742063","0.00010789655461742063","0.00010789655461742063","4.727914957486605e-11","4.727914957486605e-11","4.727914957486605e-11","4.7758076343700704e-11","4.7758076343700704e-11","4.7758076343700704e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4941816796881854e-11","5.4941816796881854e-11","5.4941816796881854e-11"
"135","6.415840889138269e-11","6.415840889138269e-11","6.415840889138269e-11","4.7278678100154056e-11","4.7278678100154056e-11","4.7278678100154056e-11","4.775828731819702e-11","4.775828731819702e-11","4.775828731819702e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"140","0.00002131838935228028","0.00002131838935228028","0.00002131838935228028","4.727752888744637e-11","4.727752888744637e-11","4.727752888744637e-11","4.77568107540835e-11","4.77568107540835e-11","4.77568107540835e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000027606062008269582","0.000027606062008269582","0.000027606062008269582"
"145","0.0007509694419462609","0.0007509694419462609","0.0007509694419462609","4.727349316434926e-11","4.727349316434926e-11","4.727349316434926e-11","4.775775205154568e-11","4.775775205154568e-11","4.775775205154568e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4942959648247644e-11","5.4942959648247644e-11","5.4942959648247644e-11"
"150","0.000574305072326434","0.000574305072326434","0.000574305072326434","4.7273021866903384e-11","4.7273021866903384e-11","4.7273021866903384e-11","4.775462310060901e-11","4.775462310060901e-11","4.775462310060901e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.49418939032687e-11","5.49418939032687e-11","5.49418939032687e-11"
"155","0.00008653924375886884","0.00008653924375886884","0.00008653924375886884","4.727543586293541e-11","4.727543586293541e-11","4.727543586293541e-11","4.7756292947504983e-11","4.7756292947504983e-11","4.7756292947504983e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.00011038751491321914","0.00011038751491321914","0.00011038751491321914"
"160","0.00006394686037949982","0.00006394686037949982","0.00006394686037949982","0.000025065530846622385","0.000025065530846622385","0.000025065530846622385","4.7756195400970147e-11","4.7756195400970147e-11","4.7756195400970147e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.00008279521969379402","0.00008279521969379402","0.00008279521969379402"
"165","0.000021319071038160794","0.000021319071038160794","0.000021319071038160794","4.7269987401402525e-11","4.7269987401402525e-11","4.7269987401402525e-11","4.7755773586778385e-11","4.7755773586778385e-11","4.7755773586778385e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000055205973010442","0.000055205973010442","0.000055205973010442"
"170","0.00012906170059007418","0.00012906170059007418","0.00012906170059007418","4.727349316434926e-11","4.727349316434926e-11","4.727349316434926e-11","4.77560819975217e-11","4.77560819975217e-11","4.77560819975217e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000027603013973498055","0.000027603013973498055","0.000027603013973498055"
"175","0.00012902560557331294","0.00012902560557331294","0.00012902560557331294","4.727010218423117e-11","4.727010218423117e-11","4.727010218423117e-11","4.7756195400970147e-11","4.7756195400970147e-11","4.7756195400970147e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000055199878294608304","0.000055199878294608304","0.000055199878294608304"
"180","0.00012897277775976676","0.00012897277775976676","0.00012897277775976676","4.727010218423117e-11","4.727010218423117e-11","4.727010218423117e-11","4.775598448774841e-11","4.775598448774841e-11","4.775598448774841e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000055199878292548835","0.000055199878292548835","0.000055199878292548835"
"185","0.00028043608391900516","0.00028043608391900516","0.00028043608391900516","4.727036650139834e-11","4.727036650139834e-11","4.727036650139834e-11","4.775640632644466e-11","4.775640632644466e-11","4.775640632644466e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000055199878294608304","0.000055199878294608304","0.000055199878294608304"
"190","0.0003871649261331474","0.0003871649261331474","0.0003871649261331474","4.7269274637146293e-11","4.7269274637146293e-11","4.7269274637146293e-11","4.775661726417303e-11","4.775661726417303e-11","4.775661726417303e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.00008279521969287741","0.00008279521969287741","0.00008279521969287741"
"195","0.00038719032519634764","0.00038719032519634764","0.00038719032519634764","4.726963092222652e-11","4.726963092222652e-11","4.726963092222652e-11","4.77560819975217e-11","4.77560819975217e-11","4.77560819975217e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000055199878292548835","0.000055199878292548835","0.000055199878292548835"
"200","0.00036588142009399445","0.00036588142009399445","0.00036588142009399445","4.726963092222652e-11","4.726963092222652e-11","4.726963092222652e-11","4.77560819975217e-11","4.77560819975217e-11","4.77560819975217e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","0.000055199878293807655","0.000055199878293807655","0.000055199878293807655"
