"Step","fold4 - val_dice_aorta","fold4 - val_dice_aorta__MIN","fold4 - val_dice_aorta__MAX","fold3 - val_dice_aorta","fold3 - val_dice_aorta__MIN","fold3 - val_dice_aorta__MAX","fold2 - val_dice_aorta","fold2 - val_dice_aorta__MIN","fold2 - val_dice_aorta__MAX","fold1 - val_dice_aorta","fold1 - val_dice_aorta__MIN","fold1 - val_dice_aorta__MAX","fold0 - val_dice_aorta","fold0 - val_dice_aorta__MIN","fold0 - val_dice_aorta__MAX"
"80","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.49829699924312e-11","4.49829699924312e-11","4.49829699924312e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"85","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.499531286490636e-11","4.499531286490636e-11","4.499531286490636e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"90","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.499284187983149e-11","4.499284187983149e-11","4.499284187983149e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422518415993692e-11","4.422518415993692e-11","4.422518415993692e-11"
"95","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4994752538095194e-11","4.4994752538095194e-11","4.4994752538095194e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"100","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.499358952876274e-11","4.499358952876274e-11","4.499358952876274e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422518415993692e-11","4.422518415993692e-11","4.422518415993692e-11"
"105","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4990153113652906e-11","4.4990153113652906e-11","4.4990153113652906e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.42252540945091e-11","4.42252540945091e-11","4.42252540945091e-11"
"110","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4995593056450206e-11","4.4995593056450206e-11","4.4995593056450206e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422462567428496e-11","4.422462567428496e-11","4.422462567428496e-11"
"115","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.4223767977452266e-11","4.4223767977452266e-11","4.4223767977452266e-11"
"120","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422518415993692e-11","4.422518415993692e-11","4.422518415993692e-11"
"125","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4994430047117755e-11","4.4994430047117755e-11","4.4994430047117755e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","0.000022667557142513424","0.000022667557142513424","0.000022667557142513424"
"130","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4995873266755416e-11","4.4995873266755416e-11","4.4995873266755416e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422467022730556e-11","4.422467022730556e-11","4.422467022730556e-11"
"135","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422267028064642e-11","4.422267028064642e-11","4.422267028064642e-11"
"140","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.49937938972961e-11","4.49937938972961e-11","4.49937938972961e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422415634127461e-11","4.422415634127461e-11","4.422415634127461e-11"
"145","4.252969317632547e-11","4.252969317632547e-11","4.252969317632547e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4994430047117755e-11","4.4994430047117755e-11","4.4994430047117755e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","0.00002266755714246882","0.00002266755714246882","0.00002266755714246882"
"150","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.499407408883995e-11","4.499407408883995e-11","4.499407408883995e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422357253049971e-11","4.422357253049971e-11","4.422357253049971e-11"
"155","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.499499048649142e-11","4.499499048649142e-11","4.499499048649142e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422357253049971e-11","4.422357253049971e-11","4.422357253049971e-11"
"160","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422305869106283e-11","4.422305869106283e-11","4.422305869106283e-11"
"165","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4994430047117755e-11","4.4994430047117755e-11","4.4994430047117755e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422352792105047e-11","4.422352792105047e-11","4.422352792105047e-11"
"170","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.4994430047117755e-11","4.4994430047117755e-11","4.4994430047117755e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","0.000022667557143097237","0.000022667557143097237","0.000022667557143097237"
"175","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","0.00002266755714246882","0.00002266755714246882","0.00002266755714246882"
"180","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0480241982204715e-11","5.0480241982204715e-11","5.0480241982204715e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422352792105047e-11","4.422352792105047e-11","4.422352792105047e-11"
"185","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422357253049971e-11","4.422357253049971e-11","4.422357253049971e-11"
"190","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0479881354153527e-11","5.0479881354153527e-11","5.0479881354153527e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422352792105047e-11","4.422352792105047e-11","4.422352792105047e-11"
"195","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422415634127461e-11","4.422415634127461e-11","4.422415634127461e-11"
"200","4.253078663801421e-11","4.253078663801421e-11","4.253078663801421e-11","5.0479881354153527e-11","5.0479881354153527e-11","5.0479881354153527e-11","4.4994710257422965e-11","4.4994710257422965e-11","4.4994710257422965e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422404180708142e-11","4.422404180708142e-11","4.422404180708142e-11"
