"Step","fold4 - val_dice_liver","fold4 - val_dice_liver__MIN","fold4 - val_dice_liver__MAX","fold3 - val_dice_liver","fold3 - val_dice_liver__MIN","fold3 - val_dice_liver__MAX","fold2 - val_dice_liver","fold2 - val_dice_liver__MIN","fold2 - val_dice_liver__MAX","fold1 - val_dice_liver","fold1 - val_dice_liver__MIN","fold1 - val_dice_liver__MAX","fold0 - val_dice_liver","fold0 - val_dice_liver__MIN","fold0 - val_dice_liver__MAX"
"10","0.7550022160487192","0.7550022160487192","0.7550022160487192","0.8473406057784558","0.8473406057784558","0.8473406057784558","0.8324237672777491","0.8324237672777491","0.8324237672777491","0.8401451732079672","0.8401451732079672","0.8401451732079672","0.9022847753566707","0.9022847753566707","0.9022847753566707"
"20","0.8893062610083916","0.8893062610083916","0.8893062610083916","0.8910967384491407","0.8910967384491407","0.8910967384491407","0.8722646911144039","0.8722646911144039","0.8722646911144039","0.8859337148210198","0.8859337148210198","0.8859337148210198","0.9010005366259417","0.9010005366259417","0.9010005366259417"
"30","0.9116933076278331","0.9116933076278331","0.9116933076278331","0.915837582054695","0.915837582054695","0.915837582054695","0.8782754039223217","0.8782754039223217","0.8782754039223217","0.8982264576988297","0.8982264576988297","0.8982264576988297","0.9183057491728792","0.9183057491728792","0.9183057491728792"
"40","0.9149717375186789","0.9149717375186789","0.9149717375186789","0.9280454047173707","0.9280454047173707","0.9280454047173707","0.8928559755739001","0.8928559755739001","0.8928559755739001","0.8918304285865111","0.8918304285865111","0.8918304285865111","0.9274526383279345","0.9274526383279345","0.9274526383279345"
"50","0.914520792714634","0.914520792714634","0.914520792714634","0.9198308674192877","0.9198308674192877","0.9198308674192877","0.8865860474408647","0.8865860474408647","0.8865860474408647","0.9145356035835378","0.9145356035835378","0.9145356035835378","0.9311651701965752","0.9311651701965752","0.9311651701965752"
"60","0.8968224819530747","0.8968224819530747","0.8968224819530747","0.9300413313352563","0.9300413313352563","0.9300413313352563","0.883664995994222","0.883664995994222","0.883664995994222","0.9234074442126998","0.9234074442126998","0.9234074442126998","0.9368784572127261","0.9368784572127261","0.9368784572127261"
"70","0.9227023912539866","0.9227023912539866","0.9227023912539866","0.9303319148456005","0.9303319148456005","0.9303319148456005","0.8948436424715263","0.8948436424715263","0.8948436424715263","0.9265523648071897","0.9265523648071897","0.9265523648071897","0.9198075468969533","0.9198075468969533","0.9198075468969533"
"80","0.9106320637570394","0.9106320637570394","0.9106320637570394","0.9339893646575202","0.9339893646575202","0.9339893646575202","0.888771261551027","0.888771261551027","0.888771261551027","0.8835880031852508","0.8835880031852508","0.8835880031852508","0.939547652411562","0.939547652411562","0.939547652411562"
"90","0.9202994197025528","0.9202994197025528","0.9202994197025528","0.9360932451898026","0.9360932451898026","0.9360932451898026","0.8878144860682144","0.8878144860682144","0.8878144860682144","0.9324903085644591","0.9324903085644591","0.9324903085644591","0.9385320741326798","0.9385320741326798","0.9385320741326798"
"100","0.9215126306413307","0.9215126306413307","0.9215126306413307","0.9384822162162402","0.9384822162162402","0.9384822162162402","0.8970394841082029","0.8970394841082029","0.8970394841082029","0.9184201516696378","0.9184201516696378","0.9184201516696378","0.9360354624842488","0.9360354624842488","0.9360354624842488"
