"Step","fold4 - val_dice_gallbladder","fold4 - val_dice_gallbladder__MIN","fold4 - val_dice_gallbladder__MAX","fold3 - val_dice_gallbladder","fold3 - val_dice_gallbladder__MIN","fold3 - val_dice_gallbladder__MAX","fold2 - val_dice_gallbladder","fold2 - val_dice_gallbladder__MIN","fold2 - val_dice_gallbladder__MAX","fold1 - val_dice_gallbladder","fold1 - val_dice_gallbladder__MIN","fold1 - val_dice_gallbladder__MAX","fold0 - val_dice_gallbladder","fold0 - val_dice_gallbladder__MIN","fold0 - val_dice_gallbladder__MAX"
"10","0.00012267316843430078","0.00012267316843430078","0.00012267316843430078","3.3803739922949077e-10","3.3803739922949077e-10","3.3803739922949077e-10","0.11494443073281232","0.11494443073281232","0.11494443073281232","3.239957298295522e-10","3.239957298295522e-10","3.239957298295522e-10","1.493636318952257e-10","1.493636318952257e-10","1.493636318952257e-10"
"20","0.5325351586558087","0.5325351586558087","0.5325351586558087","0.7268317093142672","0.7268317093142672","0.7268317093142672","0.4648156175841244","0.4648156175841244","0.4648156175841244","0.45491550263251984","0.45491550263251984","0.45491550263251984","0.6063137933350468","0.6063137933350468","0.6063137933350468"
"30","0.5287909359276634","0.5287909359276634","0.5287909359276634","0.7936845461815172","0.7936845461815172","0.7936845461815172","0.5734621843394708","0.5734621843394708","0.5734621843394708","0.38874701055716954","0.38874701055716954","0.38874701055716954","0.6301810826367881","0.6301810826367881","0.6301810826367881"
"40","0.5304802179450232","0.5304802179450232","0.5304802179450232","0.7916920010187244","0.7916920010187244","0.7916920010187244","0.4007236510356261","0.4007236510356261","0.4007236510356261","0.428397532893424","0.428397532893424","0.428397532893424","0.6265250304686925","0.6265250304686925","0.6265250304686925"
"50","0.5543927382289235","0.5543927382289235","0.5543927382289235","0.844887202221731","0.844887202221731","0.844887202221731","0.4350476714461994","0.4350476714461994","0.4350476714461994","0.41200898497872085","0.41200898497872085","0.41200898497872085","0.5538368429274517","0.5538368429274517","0.5538368429274517"
"60","0.5250969760935291","0.5250969760935291","0.5250969760935291","0.8304858026721892","0.8304858026721892","0.8304858026721892","0.24693571883834042","0.24693571883834042","0.24693571883834042","0.40696111041755695","0.40696111041755695","0.40696111041755695","0.5639779568705392","0.5639779568705392","0.5639779568705392"
"70","0.5572970499463575","0.5572970499463575","0.5572970499463575","0.8340014140190711","0.8340014140190711","0.8340014140190711","0.2670247826915349","0.2670247826915349","0.2670247826915349","0.47262996148641706","0.47262996148641706","0.47262996148641706","0.5480102297984156","0.5480102297984156","0.5480102297984156"
"80","0.5284263311157337","0.5284263311157337","0.5284263311157337","0.8212678432155193","0.8212678432155193","0.8212678432155193","0.2563984512712697","0.2563984512712697","0.2563984512712697","0.4128029834932219","0.4128029834932219","0.4128029834932219","0.6310977569118842","0.6310977569118842","0.6310977569118842"
"90","0.49666912163826327","0.49666912163826327","0.49666912163826327","0.82315758688406","0.82315758688406","0.82315758688406","0.27772223702253435","0.27772223702253435","0.27772223702253435","0.4072753460276695","0.4072753460276695","0.4072753460276695","0.6185718996196763","0.6185718996196763","0.6185718996196763"
"100","0.5481677295750463","0.5481677295750463","0.5481677295750463","0.85031229567586","0.85031229567586","0.85031229567586","0.23111931639423014","0.23111931639423014","0.23111931639423014","0.4090835235360545","0.4090835235360545","0.4090835235360545","0.5029904679286672","0.5029904679286672","0.5029904679286672"
"110","0.5501021695462947","0.5501021695462947","0.5501021695462947","0.8432048246197508","0.8432048246197508","0.8432048246197508","0.45382437470661097","0.45382437470661097","0.45382437470661097","0.3814294211078226","0.3814294211078226","0.3814294211078226","0.46227500622021656","0.46227500622021656","0.46227500622021656"
"120","0.5516290364834787","0.5516290364834787","0.5516290364834787","0.8488508774943342","0.8488508774943342","0.8488508774943342","0.4484361304754802","0.4484361304754802","0.4484361304754802","0.3921302629023322","0.3921302629023322","0.3921302629023322","0.5089048621148813","0.5089048621148813","0.5089048621148813"
"130","0.5507091137008324","0.5507091137008324","0.5507091137008324","0.8583295396053763","0.8583295396053763","0.8583295396053763","0.18578726666700088","0.18578726666700088","0.18578726666700088","0.35933341590982304","0.35933341590982304","0.35933341590982304","0.4510981100299222","0.4510981100299222","0.4510981100299222"
"140","0.5540890372803297","0.5540890372803297","0.5540890372803297","0.874200734221187","0.874200734221187","0.874200734221187","0.20324079038147191","0.20324079038147191","0.20324079038147191","0.3807952326057122","0.3807952326057122","0.3807952326057122","0.5949802184699896","0.5949802184699896","0.5949802184699896"
"150","0.5436781596221968","0.5436781596221968","0.5436781596221968","0.8323102500657699","0.8323102500657699","0.8323102500657699","0.20548731237726567","0.20548731237726567","0.20548731237726567","0.3570459026947123","0.3570459026947123","0.3570459026947123","0.48036823983858784","0.48036823983858784","0.48036823983858784"
"160","0.5349705944818391","0.5349705944818391","0.5349705944818391","0.8512024875260152","0.8512024875260152","0.8512024875260152","0.4675236606516242","0.4675236606516242","0.4675236606516242","0.35022618499337665","0.35022618499337665","0.35022618499337665","0.5884992212140174","0.5884992212140174","0.5884992212140174"
"170","0.5390049689961092","0.5390049689961092","0.5390049689961092","0.861081753284236","0.861081753284236","0.861081753284236","0.4670223663280011","0.4670223663280011","0.4670223663280011","0.3750929319528491","0.3750929319528491","0.3750929319528491","0.5359944174453076","0.5359944174453076","0.5359944174453076"
"180","0.5439282306914515","0.5439282306914515","0.5439282306914515","0.862905468149779","0.862905468149779","0.862905468149779","0.45789393638036857","0.45789393638036857","0.45789393638036857","0.37583656133446763","0.37583656133446763","0.37583656133446763","0.5529497668071371","0.5529497668071371","0.5529497668071371"
"190","0.54599563663794","0.54599563663794","0.54599563663794","0.8595902820984757","0.8595902820984757","0.8595902820984757","0.45793411275298146","0.45793411275298146","0.45793411275298146","0.3677196767794668","0.3677196767794668","0.3677196767794668","0.5570960412555607","0.5570960412555607","0.5570960412555607"
"200","0.5467943046759158","0.5467943046759158","0.5467943046759158","0.8577455342236391","0.8577455342236391","0.8577455342236391","0.4544781184263077","0.4544781184263077","0.4544781184263077","0.3662235193537724","0.3662235193537724","0.3662235193537724","0.5708093661312789","0.5708093661312789","0.5708093661312789"
