"Step","fold4 - val_dice_right_kidney","fold4 - val_dice_right_kidney__MIN","fold4 - val_dice_right_kidney__MAX","fold3 - val_dice_right_kidney","fold3 - val_dice_right_kidney__MIN","fold3 - val_dice_right_kidney__MAX","fold2 - val_dice_right_kidney","fold2 - val_dice_right_kidney__MIN","fold2 - val_dice_right_kidney__MAX","fold1 - val_dice_right_kidney","fold1 - val_dice_right_kidney__MIN","fold1 - val_dice_right_kidney__MAX","fold0 - val_dice_right_kidney","fold0 - val_dice_right_kidney__MIN","fold0 - val_dice_right_kidney__MAX"
"10","0.00896816749959453","0.00896816749959453","0.00896816749959453","0.30862882719873835","0.30862882719873835","0.30862882719873835","0.10305043801166583","0.10305043801166583","0.10305043801166583","0.04751392886197246","0.04751392886197246","0.04751392886197246","0.0013855230678419303","0.0013855230678419303","0.0013855230678419303"
"20","0.29995329880667315","0.29995329880667315","0.29995329880667315","0.24923427644938764","0.24923427644938764","0.24923427644938764","0.3090203217847448","0.3090203217847448","0.3090203217847448","0.231713164209362","0.231713164209362","0.231713164209362","0.4061061942472647","0.4061061942472647","0.4061061942472647"
"30","0.4771631010482542","0.4771631010482542","0.4771631010482542","0.4573845561939535","0.4573845561939535","0.4573845561939535","0.22008698258949863","0.22008698258949863","0.22008698258949863","0.35950426239049427","0.35950426239049427","0.35950426239049427","0.4704986410868463","0.4704986410868463","0.4704986410868463"
"40","0.5114979541921918","0.5114979541921918","0.5114979541921918","0.6140957619009592","0.6140957619009592","0.6140957619009592","0.3410116831752707","0.3410116831752707","0.3410116831752707","0.37061131446077294","0.37061131446077294","0.37061131446077294","0.435386258739101","0.435386258739101","0.435386258739101"
"50","0.5477631079229273","0.5477631079229273","0.5477631079229273","0.606912755778874","0.606912755778874","0.606912755778874","0.3105677119146355","0.3105677119146355","0.3105677119146355","0.4075941977186638","0.4075941977186638","0.4075941977186638","0.4789173820774667","0.4789173820774667","0.4789173820774667"
"60","0.5363093433896703","0.5363093433896703","0.5363093433896703","0.5908427614035036","0.5908427614035036","0.5908427614035036","0.3368809265486273","0.3368809265486273","0.3368809265486273","0.3556443606100148","0.3556443606100148","0.3556443606100148","0.5015639405463166","0.5015639405463166","0.5015639405463166"
"70","0.5219330838595114","0.5219330838595114","0.5219330838595114","0.6010601889191869","0.6010601889191869","0.6010601889191869","0.3526741590726221","0.3526741590726221","0.3526741590726221","0.3797896918290414","0.3797896918290414","0.3797896918290414","0.48606841801298784","0.48606841801298784","0.48606841801298784"
"80","0.5605147093004624","0.5605147093004624","0.5605147093004624","0.5816542247749535","0.5816542247749535","0.5816542247749535","0.3425625987558741","0.3425625987558741","0.3425625987558741","0.3396343445477839","0.3396343445477839","0.3396343445477839","0.5017928494978665","0.5017928494978665","0.5017928494978665"
"90","0.5581698669545161","0.5581698669545161","0.5581698669545161","0.6407720849261251","0.6407720849261251","0.6407720849261251","0.34086792511740627","0.34086792511740627","0.34086792511740627","0.384218266367908","0.384218266367908","0.384218266367908","0.5022371039679375","0.5022371039679375","0.5022371039679375"
"100","0.5624249514111369","0.5624249514111369","0.5624249514111369","0.637191863509227","0.637191863509227","0.637191863509227","0.36618322043426915","0.36618322043426915","0.36618322043426915","0.3823397815051772","0.3823397815051772","0.3823397815051772","0.4934972870302929","0.4934972870302929","0.4934972870302929"
"110","0.5791690262185356","0.5791690262185356","0.5791690262185356","0.5983985579110849","0.5983985579110849","0.5983985579110849","0.32276043709552726","0.32276043709552726","0.32276043709552726","0.38745353822648526","0.38745353822648526","0.38745353822648526","0.5240794882508272","0.5240794882508272","0.5240794882508272"
"120","0.5628688206066562","0.5628688206066562","0.5628688206066562","0.6136749941605742","0.6136749941605742","0.6136749941605742","0.34853229202717817","0.34853229202717817","0.34853229202717817","0.3510844112039415","0.3510844112039415","0.3510844112039415","0.46242216633321254","0.46242216633321254","0.46242216633321254"
"130","0.5759074011324062","0.5759074011324062","0.5759074011324062","0.6416485559743708","0.6416485559743708","0.6416485559743708","0.3604384018238813","0.3604384018238813","0.3604384018238813","0.39071268594454867","0.39071268594454867","0.39071268594454867","0.500223079678052","0.500223079678052","0.500223079678052"
"140","0.5334716267018333","0.5334716267018333","0.5334716267018333","0.5800793249464878","0.5800793249464878","0.5800793249464878","0.34466136877371634","0.34466136877371634","0.34466136877371634","0.3836303689711761","0.3836303689711761","0.3836303689711761","0.5039634739323681","0.5039634739323681","0.5039634739323681"
"150","0.5722919245153785","0.5722919245153785","0.5722919245153785","0.5787178961751168","0.5787178961751168","0.5787178961751168","0.3580598861868739","0.3580598861868739","0.3580598861868739","0.3752175509001217","0.3752175509001217","0.3752175509001217","0.49314951118646855","0.49314951118646855","0.49314951118646855"
"160","0.5723621887258965","0.5723621887258965","0.5723621887258965","0.6190320989006849","0.6190320989006849","0.6190320989006849","0.32858243500102724","0.32858243500102724","0.32858243500102724","0.37508380108325295","0.37508380108325295","0.37508380108325295","0.4883676445654989","0.4883676445654989","0.4883676445654989"
"170","0.5770816540024564","0.5770816540024564","0.5770816540024564","0.6269766837504289","0.6269766837504289","0.6269766837504289","0.3450740671020338","0.3450740671020338","0.3450740671020338","0.36777971137353005","0.36777971137353005","0.36777971137353005","0.4805763701815956","0.4805763701815956","0.4805763701815956"
"180","0.5853678960780884","0.5853678960780884","0.5853678960780884","0.621021346103512","0.621021346103512","0.621021346103512","0.33630087208855797","0.33630087208855797","0.33630087208855797","0.3699519482331758","0.3699519482331758","0.3699519482331758","0.4834074545516338","0.4834074545516338","0.4834074545516338"
"190","0.5755864849298038","0.5755864849298038","0.5755864849298038","0.6208533237518642","0.6208533237518642","0.6208533237518642","0.340747004043918","0.340747004043918","0.340747004043918","0.36849167340192085","0.36849167340192085","0.36849167340192085","0.4812531629333468","0.4812531629333468","0.4812531629333468"
"200","0.5746019443131157","0.5746019443131157","0.5746019443131157","0.6292537514366044","0.6292537514366044","0.6292537514366044","0.33518677563245003","0.33518677563245003","0.33518677563245003","0.3726738690126093","0.3726738690126093","0.3726738690126093","0.47870757744164927","0.47870757744164927","0.47870757744164927"
