"Step","fold4 - val_dice_aorta","fold4 - val_dice_aorta__MIN","fold4 - val_dice_aorta__MAX","fold3 - val_dice_aorta","fold3 - val_dice_aorta__MIN","fold3 - val_dice_aorta__MAX","fold2 - val_dice_aorta","fold2 - val_dice_aorta__MIN","fold2 - val_dice_aorta__MAX","fold1 - val_dice_aorta","fold1 - val_dice_aorta__MIN","fold1 - val_dice_aorta__MAX","fold0 - val_dice_aorta","fold0 - val_dice_aorta__MIN","fold0 - val_dice_aorta__MAX"
"10","0.1904570877039087","0.1904570877039087","0.1904570877039087","0.12332979027891972","0.12332979027891972","0.12332979027891972","0.13359744648096383","0.13359744648096383","0.13359744648096383","0.05313212748910441","0.05313212748910441","0.05313212748910441","0.07267402118959061","0.07267402118959061","0.07267402118959061"
"20","0.29211522733684075","0.29211522733684075","0.29211522733684075","0.2949452859157648","0.2949452859157648","0.2949452859157648","0.19983896079049893","0.19983896079049893","0.19983896079049893","0.19265616232987687","0.19265616232987687","0.19265616232987687","0.2676471825666987","0.2676471825666987","0.2676471825666987"
"30","0.3349103876762675","0.3349103876762675","0.3349103876762675","0.2650390584851691","0.2650390584851691","0.2650390584851691","0.29490297114702935","0.29490297114702935","0.29490297114702935","0.15001497361779928","0.15001497361779928","0.15001497361779928","0.3454610580608287","0.3454610580608287","0.3454610580608287"
"40","0.3267962203178307","0.3267962203178307","0.3267962203178307","0.40962580706851964","0.40962580706851964","0.40962580706851964","0.27535371306401046","0.27535371306401046","0.27535371306401046","0.19931909626819122","0.19931909626819122","0.19931909626819122","0.3594363986526875","0.3594363986526875","0.3594363986526875"
"50","0.33368826745679603","0.33368826745679603","0.33368826745679603","0.3427145214242275","0.3427145214242275","0.3427145214242275","0.28190430125194504","0.28190430125194504","0.28190430125194504","0.20186899513689016","0.20186899513689016","0.20186899513689016","0.3380938039589295","0.3380938039589295","0.3380938039589295"
"60","0.3265557145675716","0.3265557145675716","0.3265557145675716","0.35567072081405615","0.35567072081405615","0.35567072081405615","0.2447154347206183","0.2447154347206183","0.2447154347206183","0.21908703064572368","0.21908703064572368","0.21908703064572368","0.3602440040004733","0.3602440040004733","0.3602440040004733"
"70","0.3177035220888004","0.3177035220888004","0.3177035220888004","0.3629199519028583","0.3629199519028583","0.3629199519028583","0.286112749646722","0.286112749646722","0.286112749646722","0.23517766311672786","0.23517766311672786","0.23517766311672786","0.3254032687187496","0.3254032687187496","0.3254032687187496"
"80","0.30544547741485206","0.30544547741485206","0.30544547741485206","0.324113556833977","0.324113556833977","0.324113556833977","0.24760668751975212","0.24760668751975212","0.24760668751975212","0.1529441575329501","0.1529441575329501","0.1529441575329501","0.332873571042393","0.332873571042393","0.332873571042393"
"90","0.3177270824491078","0.3177270824491078","0.3177270824491078","0.3494904467631897","0.3494904467631897","0.3494904467631897","0.24009160000101015","0.24009160000101015","0.24009160000101015","0.17356672028603892","0.17356672028603892","0.17356672028603892","0.3395569398773692","0.3395569398773692","0.3395569398773692"
"100","0.26411894006459286","0.26411894006459286","0.26411894006459286","0.34585933250538164","0.34585933250538164","0.34585933250538164","0.23426833041739367","0.23426833041739367","0.23426833041739367","0.17961552002014758","0.17961552002014758","0.17961552002014758","0.3070454820741877","0.3070454820741877","0.3070454820741877"
"110","0.31171304640633557","0.31171304640633557","0.31171304640633557","0.36471429045082315","0.36471429045082315","0.36471429045082315","0.2680543195971118","0.2680543195971118","0.2680543195971118","0.16539974891532377","0.16539974891532377","0.16539974891532377","0.31970836165032857","0.31970836165032857","0.31970836165032857"
"120","0.29489741412541354","0.29489741412541354","0.29489741412541354","0.3650303346360973","0.3650303346360973","0.3650303346360973","0.2710177702285566","0.2710177702285566","0.2710177702285566","0.1773630546683606","0.1773630546683606","0.1773630546683606","0.31008910510943033","0.31008910510943033","0.31008910510943033"
"130","0.3267135174522387","0.3267135174522387","0.3267135174522387","0.3738455911782179","0.3738455911782179","0.3738455911782179","0.24709790241245977","0.24709790241245977","0.24709790241245977","0.15313367100195946","0.15313367100195946","0.15313367100195946","0.28620456853493115","0.28620456853493115","0.28620456853493115"
"140","0.2756308845501637","0.2756308845501637","0.2756308845501637","0.3609420465233768","0.3609420465233768","0.3609420465233768","0.27429931748763986","0.27429931748763986","0.27429931748763986","0.19627477379416433","0.19627477379416433","0.19627477379416433","0.30840553755501565","0.30840553755501565","0.30840553755501565"
"150","0.2801497149766831","0.2801497149766831","0.2801497149766831","0.36856390231836683","0.36856390231836683","0.36856390231836683","0.2680220462976886","0.2680220462976886","0.2680220462976886","0.17948950233245733","0.17948950233245733","0.17948950233245733","0.32252568514452473","0.32252568514452473","0.32252568514452473"
"160","0.3062963581676424","0.3062963581676424","0.3062963581676424","0.3558214631773768","0.3558214631773768","0.3558214631773768","0.25626246499988903","0.25626246499988903","0.25626246499988903","0.1713031247757028","0.1713031247757028","0.1713031247757028","0.33897584572077255","0.33897584572077255","0.33897584572077255"
"170","0.3187465476707551","0.3187465476707551","0.3187465476707551","0.36067649839994836","0.36067649839994836","0.36067649839994836","0.26538627939933346","0.26538627939933346","0.26538627939933346","0.15865521012899028","0.15865521012899028","0.15865521012899028","0.32547652036774044","0.32547652036774044","0.32547652036774044"
"180","0.30390587242268474","0.30390587242268474","0.30390587242268474","0.3505100324951585","0.3505100324951585","0.3505100324951585","0.24789358361906305","0.24789358361906305","0.24789358361906305","0.1616714772974983","0.1616714772974983","0.1616714772974983","0.32154017904639093","0.32154017904639093","0.32154017904639093"
"190","0.31210227874093543","0.31210227874093543","0.31210227874093543","0.35271349013868347","0.35271349013868347","0.35271349013868347","0.25329388705204353","0.25329388705204353","0.25329388705204353","0.1625940964481074","0.1625940964481074","0.1625940964481074","0.31876827842340805","0.31876827842340805","0.31876827842340805"
"200","0.3093297037429588","0.3093297037429588","0.3093297037429588","0.35508370698283365","0.35508370698283365","0.35508370698283365","0.25271382711434504","0.25271382711434504","0.25271382711434504","0.1617215794944833","0.1617215794944833","0.1617215794944833","0.31524075780413996","0.31524075780413996","0.31524075780413996"
