"Step","fold4 - val_dice_esophagus","fold4 - val_dice_esophagus__MIN","fold4 - val_dice_esophagus__MAX","fold3 - val_dice_esophagus","fold3 - val_dice_esophagus__MIN","fold3 - val_dice_esophagus__MAX","fold2 - val_dice_esophagus","fold2 - val_dice_esophagus__MIN","fold2 - val_dice_esophagus__MAX","fold1 - val_dice_esophagus","fold1 - val_dice_esophagus__MIN","fold1 - val_dice_esophagus__MAX","fold0 - val_dice_esophagus","fold0 - val_dice_esophagus__MIN","fold0 - val_dice_esophagus__MAX"
"10","2.2339665242917972e-10","2.2339665242917972e-10","2.2339665242917972e-10","4.904465210104955e-10","4.904465210104955e-10","4.904465210104955e-10","0.2500000004800779","0.2500000004800779","0.2500000004800779","3.514872114852315e-10","3.514872114852315e-10","3.514872114852315e-10","3.7248715915482334e-10","3.7248715915482334e-10","3.7248715915482334e-10"
"20","2.2339665242917972e-10","2.2339665242917972e-10","2.2339665242917972e-10","4.904465210104955e-10","4.904465210104955e-10","4.904465210104955e-10","5.6884111450083204e-9","5.6884111450083204e-9","5.6884111450083204e-9","4.5888630319206627e-10","4.5888630319206627e-10","4.5888630319206627e-10","3.7247364776077915e-10","3.7247364776077915e-10","3.7247364776077915e-10"
"30","2.2339665242917972e-10","2.2339665242917972e-10","2.2339665242917972e-10","0.307552590761831","0.307552590761831","0.307552590761831","0.22316283526820868","0.22316283526820868","0.22316283526820868","0.47971986773073144","0.47971986773073144","0.47971986773073144","0.47796505148186486","0.47796505148186486","0.47796505148186486"
"40","0.4102016906603756","0.4102016906603756","0.4102016906603756","0.5596284774403336","0.5596284774403336","0.5596284774403336","0.32676855344514955","0.32676855344514955","0.32676855344514955","0.5463484699636975","0.5463484699636975","0.5463484699636975","0.5571043686629171","0.5571043686629171","0.5571043686629171"
"50","0.4797616286031024","0.4797616286031024","0.4797616286031024","0.5920260222156628","0.5920260222156628","0.5920260222156628","0.22329433597042747","0.22329433597042747","0.22329433597042747","0.5874173060679064","0.5874173060679064","0.5874173060679064","0.5090615927182492","0.5090615927182492","0.5090615927182492"
"60","0.38160544836423343","0.38160544836423343","0.38160544836423343","0.5826642292147565","0.5826642292147565","0.5826642292147565","0.13107824263598533","0.13107824263598533","0.13107824263598533","0.5555106791597271","0.5555106791597271","0.5555106791597271","0.5338266826181951","0.5338266826181951","0.5338266826181951"
"70","0.3397853216048385","0.3397853216048385","0.3397853216048385","0.6001053627555063","0.6001053627555063","0.6001053627555063","0.13156691436332346","0.13156691436332346","0.13156691436332346","0.5914635603727837","0.5914635603727837","0.5914635603727837","0.5385673339394078","0.5385673339394078","0.5385673339394078"
"80","0.43780905311784646","0.43780905311784646","0.43780905311784646","0.630537597250557","0.630537597250557","0.630537597250557","0.21998976178310287","0.21998976178310287","0.21998976178310287","0.5890871198567089","0.5890871198567089","0.5890871198567089","0.5141296810549231","0.5141296810549231","0.5141296810549231"
"90","0.40015295635831266","0.40015295635831266","0.40015295635831266","0.6200085443408988","0.6200085443408988","0.6200085443408988","0.27524452780770814","0.27524452780770814","0.27524452780770814","0.6139253135780156","0.6139253135780156","0.6139253135780156","0.5541236552698001","0.5541236552698001","0.5541236552698001"
"100","0.3975343980332097","0.3975343980332097","0.3975343980332097","0.6287414072459111","0.6287414072459111","0.6287414072459111","0.1803816722359821","0.1803816722359821","0.1803816722359821","0.574547651849944","0.574547651849944","0.574547651849944","0.5841575185990536","0.5841575185990536","0.5841575185990536"
"110","0.32467945524768244","0.32467945524768244","0.32467945524768244","0.6329869698192908","0.6329869698192908","0.6329869698192908","0.23817201791362075","0.23817201791362075","0.23817201791362075","0.5958551463967281","0.5958551463967281","0.5958551463967281","0.536847874581751","0.536847874581751","0.536847874581751"
"120","0.3279905890287338","0.3279905890287338","0.3279905890287338","0.6605441095301766","0.6605441095301766","0.6605441095301766","0.2281043472469532","0.2281043472469532","0.2281043472469532","0.6019973504681804","0.6019973504681804","0.6019973504681804","0.4861642528343161","0.4861642528343161","0.4861642528343161"
"130","0.30457107355385843","0.30457107355385843","0.30457107355385843","0.6329967033790563","0.6329967033790563","0.6329967033790563","0.22954979721922203","0.22954979721922203","0.22954979721922203","0.6032085174278186","0.6032085174278186","0.6032085174278186","0.47175011616138296","0.47175011616138296","0.47175011616138296"
"140","0.2724529407434844","0.2724529407434844","0.2724529407434844","0.6324127301645958","0.6324127301645958","0.6324127301645958","0.18820484124087422","0.18820484124087422","0.18820484124087422","0.6206473763350591","0.6206473763350591","0.6206473763350591","0.5171502985670469","0.5171502985670469","0.5171502985670469"
"150","0.32521593690845335","0.32521593690845335","0.32521593690845335","0.6345959270666243","0.6345959270666243","0.6345959270666243","0.15952503319903932","0.15952503319903932","0.15952503319903932","0.6149106871883803","0.6149106871883803","0.6149106871883803","0.5065889391992902","0.5065889391992902","0.5065889391992902"
"160","0.31489150371941305","0.31489150371941305","0.31489150371941305","0.6388973346133029","0.6388973346133029","0.6388973346133029","0.1560945881943421","0.1560945881943421","0.1560945881943421","0.6118770158157922","0.6118770158157922","0.6118770158157922","0.4975436556338447","0.4975436556338447","0.4975436556338447"
"170","0.30431949268539943","0.30431949268539943","0.30431949268539943","0.6417890734945187","0.6417890734945187","0.6417890734945187","0.17861455868626286","0.17861455868626286","0.17861455868626286","0.6131176786014916","0.6131176786014916","0.6131176786014916","0.5172465015883967","0.5172465015883967","0.5172465015883967"
"180","0.29303013965825336","0.29303013965825336","0.29303013965825336","0.6409623304943907","0.6409623304943907","0.6409623304943907","0.16609489295569688","0.16609489295569688","0.16609489295569688","0.6161947816799817","0.6161947816799817","0.6161947816799817","0.5120679520804535","0.5120679520804535","0.5120679520804535"
"190","0.3035263460172238","0.3035263460172238","0.3035263460172238","0.6431777371671156","0.6431777371671156","0.6431777371671156","0.1655736238237377","0.1655736238237377","0.1655736238237377","0.6157135016705934","0.6157135016705934","0.6157135016705934","0.5019913379773503","0.5019913379773503","0.5019913379773503"
"200","0.29972695551473294","0.29972695551473294","0.29972695551473294","0.6408126713681309","0.6408126713681309","0.6408126713681309","0.17568970720397992","0.17568970720397992","0.17568970720397992","0.6173401814281921","0.6173401814281921","0.6173401814281921","0.495597688503033","0.495597688503033","0.495597688503033"
