"Step","fold4 - val_dice_spleen","fold4 - val_dice_spleen__MIN","fold4 - val_dice_spleen__MAX","fold3 - val_dice_spleen","fold3 - val_dice_spleen__MIN","fold3 - val_dice_spleen__MAX","fold2 - val_dice_spleen","fold2 - val_dice_spleen__MIN","fold2 - val_dice_spleen__MAX","fold1 - val_dice_spleen","fold1 - val_dice_spleen__MIN","fold1 - val_dice_spleen__MAX","fold0 - val_dice_spleen","fold0 - val_dice_spleen__MIN","fold0 - val_dice_spleen__MAX"
"10","0.8250965753112642","0.8250965753112642","0.8250965753112642","0.8229130236474065","0.8229130236474065","0.8229130236474065","0.4217814392684722","0.4217814392684722","0.4217814392684722","0.6681972035057243","0.6681972035057243","0.6681972035057243","0.6472855878214847","0.6472855878214847","0.6472855878214847"
"20","0.8280553833418267","0.8280553833418267","0.8280553833418267","0.7965368094648997","0.7965368094648997","0.7965368094648997","0.4935358808872567","0.4935358808872567","0.4935358808872567","0.6959756283086256","0.6959756283086256","0.6959756283086256","0.6833368025143504","0.6833368025143504","0.6833368025143504"
"30","0.6243127917432026","0.6243127917432026","0.6243127917432026","0.8785786359321462","0.8785786359321462","0.8785786359321462","0.4812808075618883","0.4812808075618883","0.4812808075618883","0.6961860577967114","0.6961860577967114","0.6961860577967114","0.6668954142469401","0.6668954142469401","0.6668954142469401"
"40","0.8516011997535342","0.8516011997535342","0.8516011997535342","0.9068143584840572","0.9068143584840572","0.9068143584840572","0.4663084743648857","0.4663084743648857","0.4663084743648857","0.6110612094785204","0.6110612094785204","0.6110612094785204","0.6885475298310344","0.6885475298310344","0.6885475298310344"
"50","0.678142585313329","0.678142585313329","0.678142585313329","0.8890468949710898","0.8890468949710898","0.8890468949710898","0.4718594445568182","0.4718594445568182","0.4718594445568182","0.7308003710052667","0.7308003710052667","0.7308003710052667","0.7039587294324339","0.7039587294324339","0.7039587294324339"
"60","0.8311053549938362","0.8311053549938362","0.8311053549938362","0.87079805701461","0.87079805701461","0.87079805701461","0.47165349229895165","0.47165349229895165","0.47165349229895165","0.7907005854078026","0.7907005854078026","0.7907005854078026","0.7054516314373624","0.7054516314373624","0.7054516314373624"
"70","0.8279014473423062","0.8279014473423062","0.8279014473423062","0.8900063342139027","0.8900063342139027","0.8900063342139027","0.4913701836914596","0.4913701836914596","0.4913701836914596","0.6182611738786992","0.6182611738786992","0.6182611738786992","0.6977598695377127","0.6977598695377127","0.6977598695377127"
"80","0.8551039935479969","0.8551039935479969","0.8551039935479969","0.8845172567194811","0.8845172567194811","0.8845172567194811","0.4672284199424592","0.4672284199424592","0.4672284199424592","0.7454410128506181","0.7454410128506181","0.7454410128506181","0.6931295273813345","0.6931295273813345","0.6931295273813345"
"90","0.8500755874745067","0.8500755874745067","0.8500755874745067","0.9088215008548605","0.9088215008548605","0.9088215008548605","0.4849294657013111","0.4849294657013111","0.4849294657013111","0.7291987225168273","0.7291987225168273","0.7291987225168273","0.6952936406855663","0.6952936406855663","0.6952936406855663"
"100","0.8437178446621999","0.8437178446621999","0.8437178446621999","0.9177331267746354","0.9177331267746354","0.9177331267746354","0.4878665186124359","0.4878665186124359","0.4878665186124359","0.796770719511716","0.796770719511716","0.796770719511716","0.6961533754199424","0.6961533754199424","0.6961533754199424"
"110","0.8438928945600201","0.8438928945600201","0.8438928945600201","0.8963954732838407","0.8963954732838407","0.8963954732838407","0.4730968045433176","0.4730968045433176","0.4730968045433176","0.7900319374783766","0.7900319374783766","0.7900319374783766","0.6922367617243441","0.6922367617243441","0.6922367617243441"
"120","0.846426963411281","0.846426963411281","0.846426963411281","0.8938928817312811","0.8938928817312811","0.8938928817312811","0.4849355591939367","0.4849355591939367","0.4849355591939367","0.8235270220569912","0.8235270220569912","0.8235270220569912","0.6731225583329776","0.6731225583329776","0.6731225583329776"
"130","0.8540251060686264","0.8540251060686264","0.8540251060686264","0.8992057233159766","0.8992057233159766","0.8992057233159766","0.4887638735553606","0.4887638735553606","0.4887638735553606","0.8238011822431613","0.8238011822431613","0.8238011822431613","0.6968836193425637","0.6968836193425637","0.6968836193425637"
"140","0.8432016582187044","0.8432016582187044","0.8432016582187044","0.8984117031211302","0.8984117031211302","0.8984117031211302","0.48529790145558344","0.48529790145558344","0.48529790145558344","0.8318483362504406","0.8318483362504406","0.8318483362504406","0.7081067924776646","0.7081067924776646","0.7081067924776646"
"150","0.8417405769376249","0.8417405769376249","0.8417405769376249","0.8982800412969523","0.8982800412969523","0.8982800412969523","0.47714988869340486","0.47714988869340486","0.47714988869340486","0.7771691513414646","0.7771691513414646","0.7771691513414646","0.7082217552530028","0.7082217552530028","0.7082217552530028"
"160","0.8427135885124222","0.8427135885124222","0.8427135885124222","0.8772038690838754","0.8772038690838754","0.8772038690838754","0.4709993553661348","0.4709993553661348","0.4709993553661348","0.8301704921555101","0.8301704921555101","0.8301704921555101","0.7044252477108397","0.7044252477108397","0.7044252477108397"
"170","0.854668904585556","0.854668904585556","0.854668904585556","0.8956932217702804","0.8956932217702804","0.8956932217702804","0.48505433034230827","0.48505433034230827","0.48505433034230827","0.833907543844055","0.833907543844055","0.833907543844055","0.7052458575374672","0.7052458575374672","0.7052458575374672"
"180","0.8596166295960606","0.8596166295960606","0.8596166295960606","0.892975810394391","0.892975810394391","0.892975810394391","0.47787654309669014","0.47787654309669014","0.47787654309669014","0.8015829469164055","0.8015829469164055","0.8015829469164055","0.7065768444522618","0.7065768444522618","0.7065768444522618"
"190","0.8571060999126368","0.8571060999126368","0.8571060999126368","0.8973039940024686","0.8973039940024686","0.8973039940024686","0.47452390549720247","0.47452390549720247","0.47452390549720247","0.7953305803527333","0.7953305803527333","0.7953305803527333","0.7069273512971239","0.7069273512971239","0.7069273512971239"
"200","0.8566762689569812","0.8566762689569812","0.8566762689569812","0.8970568460017976","0.8970568460017976","0.8970568460017976","0.4752300422904102","0.4752300422904102","0.4752300422904102","0.7938759277440217","0.7938759277440217","0.7938759277440217","0.7070295194348795","0.7070295194348795","0.7070295194348795"
