"Step","fold4 - val_dice_stomach","fold4 - val_dice_stomach__MIN","fold4 - val_dice_stomach__MAX","fold3 - val_dice_stomach","fold3 - val_dice_stomach__MIN","fold3 - val_dice_stomach__MAX","fold2 - val_dice_stomach","fold2 - val_dice_stomach__MIN","fold2 - val_dice_stomach__MAX","fold1 - val_dice_stomach","fold1 - val_dice_stomach__MIN","fold1 - val_dice_stomach__MAX","fold0 - val_dice_stomach","fold0 - val_dice_stomach__MIN","fold0 - val_dice_stomach__MAX"
"10","0.5846257902406221","0.5846257902406221","0.5846257902406221","0.6983798912779093","0.6983798912779093","0.6983798912779093","0.5970818351009186","0.5970818351009186","0.5970818351009186","0.5666145735036323","0.5666145735036323","0.5666145735036323","0.6461213604544481","0.6461213604544481","0.6461213604544481"
"20","0.6601129118317091","0.6601129118317091","0.6601129118317091","0.7762856317200582","0.7762856317200582","0.7762856317200582","0.5231801076543618","0.5231801076543618","0.5231801076543618","0.690597954318257","0.690597954318257","0.690597954318257","0.6889112503368385","0.6889112503368385","0.6889112503368385"
"30","0.7126985755354415","0.7126985755354415","0.7126985755354415","0.7487086658802536","0.7487086658802536","0.7487086658802536","0.4428655027045848","0.4428655027045848","0.4428655027045848","0.7085256318393122","0.7085256318393122","0.7085256318393122","0.7752280253071036","0.7752280253071036","0.7752280253071036"
"40","0.7058736706283776","0.7058736706283776","0.7058736706283776","0.6959875431461174","0.6959875431461174","0.6959875431461174","0.5175127832596152","0.5175127832596152","0.5175127832596152","0.741929122588395","0.741929122588395","0.741929122588395","0.7777611673305272","0.7777611673305272","0.7777611673305272"
"50","0.6909541811521761","0.6909541811521761","0.6909541811521761","0.7732040339465923","0.7732040339465923","0.7732040339465923","0.5360734982876875","0.5360734982876875","0.5360734982876875","0.7372557934781805","0.7372557934781805","0.7372557934781805","0.8029063158201576","0.8029063158201576","0.8029063158201576"
"60","0.6692048159283394","0.6692048159283394","0.6692048159283394","0.7628003873720454","0.7628003873720454","0.7628003873720454","0.528489896178238","0.528489896178238","0.528489896178238","0.7584162905663002","0.7584162905663002","0.7584162905663002","0.7856535423114026","0.7856535423114026","0.7856535423114026"
"70","0.7535217300987617","0.7535217300987617","0.7535217300987617","0.8055799352871927","0.8055799352871927","0.8055799352871927","0.5810866509628969","0.5810866509628969","0.5810866509628969","0.7343165754376011","0.7343165754376011","0.7343165754376011","0.8155344700601952","0.8155344700601952","0.8155344700601952"
"80","0.7121399538918611","0.7121399538918611","0.7121399538918611","0.834656202326971","0.834656202326971","0.834656202326971","0.5417965212166413","0.5417965212166413","0.5417965212166413","0.7331969944466867","0.7331969944466867","0.7331969944466867","0.8187645473319065","0.8187645473319065","0.8187645473319065"
"90","0.7274585362492493","0.7274585362492493","0.7274585362492493","0.8028183963707702","0.8028183963707702","0.8028183963707702","0.4963384047315951","0.4963384047315951","0.4963384047315951","0.7778685274251284","0.7778685274251284","0.7778685274251284","0.8072895368166796","0.8072895368166796","0.8072895368166796"
"100","0.7133496621525101","0.7133496621525101","0.7133496621525101","0.8331349032828058","0.8331349032828058","0.8331349032828058","0.5411818086461299","0.5411818086461299","0.5411818086461299","0.7703308001837617","0.7703308001837617","0.7703308001837617","0.7824224109893045","0.7824224109893045","0.7824224109893045"
"110","0.725416951133529","0.725416951133529","0.725416951133529","0.8198647941090234","0.8198647941090234","0.8198647941090234","0.5164502909480296","0.5164502909480296","0.5164502909480296","0.7400252401416318","0.7400252401416318","0.7400252401416318","0.8086115101105156","0.8086115101105156","0.8086115101105156"
"120","0.7290593730012326","0.7290593730012326","0.7290593730012326","0.8462243240410401","0.8462243240410401","0.8462243240410401","0.5466756139180324","0.5466756139180324","0.5466756139180324","0.7811800156635292","0.7811800156635292","0.7811800156635292","0.7705791923731041","0.7705791923731041","0.7705791923731041"
"130","0.705088313821295","0.705088313821295","0.705088313821295","0.8402907170725461","0.8402907170725461","0.8402907170725461","0.540738999903303","0.540738999903303","0.540738999903303","0.7657532774555607","0.7657532774555607","0.7657532774555607","0.792932443052833","0.792932443052833","0.792932443052833"
"140","0.7212669059504146","0.7212669059504146","0.7212669059504146","0.7885098729997152","0.7885098729997152","0.7885098729997152","0.528317123684048","0.528317123684048","0.528317123684048","0.7565617433527272","0.7565617433527272","0.7565617433527272","0.8153761109779346","0.8153761109779346","0.8153761109779346"
"150","0.737406006186594","0.737406006186594","0.737406006186594","0.8158070490225318","0.8158070490225318","0.8158070490225318","0.5330029009654","0.5330029009654","0.5330029009654","0.7483526257297302","0.7483526257297302","0.7483526257297302","0.8098936523101103","0.8098936523101103","0.8098936523101103"
"160","0.7396232567723827","0.7396232567723827","0.7396232567723827","0.8186591231716998","0.8186591231716998","0.8186591231716998","0.551160461386909","0.551160461386909","0.551160461386909","0.7544653976429441","0.7544653976429441","0.7544653976429441","0.8049217368343138","0.8049217368343138","0.8049217368343138"
"170","0.7367399846239074","0.7367399846239074","0.7367399846239074","0.8228138710178209","0.8228138710178209","0.8228138710178209","0.5355980320700872","0.5355980320700872","0.5355980320700872","0.7563530840672912","0.7563530840672912","0.7563530840672912","0.8088453181472668","0.8088453181472668","0.8088453181472668"
"180","0.7346181918971251","0.7346181918971251","0.7346181918971251","0.8164916700778901","0.8164916700778901","0.8164916700778901","0.5413724217982112","0.5413724217982112","0.5413724217982112","0.7499277416773247","0.7499277416773247","0.7499277416773247","0.8093805572548534","0.8093805572548534","0.8093805572548534"
"190","0.7341670678521446","0.7341670678521446","0.7341670678521446","0.813825161346338","0.813825161346338","0.813825161346338","0.5504615329339011","0.5504615329339011","0.5504615329339011","0.7509802719197488","0.7509802719197488","0.7509802719197488","0.808072281797775","0.808072281797775","0.808072281797775"
"200","0.7378745262125476","0.7378745262125476","0.7378745262125476","0.81166871469429","0.81166871469429","0.81166871469429","0.5373339373990098","0.5373339373990098","0.5373339373990098","0.7502975959226983","0.7502975959226983","0.7502975959226983","0.806141815118311","0.806141815118311","0.806141815118311"
