"Step","fold4 - val_dice_left_kidney","fold4 - val_dice_left_kidney__MIN","fold4 - val_dice_left_kidney__MAX","fold3 - val_dice_left_kidney","fold3 - val_dice_left_kidney__MIN","fold3 - val_dice_left_kidney__MAX","fold2 - val_dice_left_kidney","fold2 - val_dice_left_kidney__MIN","fold2 - val_dice_left_kidney__MAX","fold1 - val_dice_left_kidney","fold1 - val_dice_left_kidney__MIN","fold1 - val_dice_left_kidney__MAX","fold0 - val_dice_left_kidney","fold0 - val_dice_left_kidney__MIN","fold0 - val_dice_left_kidney__MAX"
"10","0.46923143536738854","0.46923143536738854","0.46923143536738854","0.5958856232385469","0.5958856232385469","0.5958856232385469","0.31802507757053494","0.31802507757053494","0.31802507757053494","0.18341861191623532","0.18341861191623532","0.18341861191623532","0.19566547555955008","0.19566547555955008","0.19566547555955008"
"20","0.5547192750360165","0.5547192750360165","0.5547192750360165","0.4281999451798273","0.4281999451798273","0.4281999451798273","0.3025142327554833","0.3025142327554833","0.3025142327554833","0.1744688317865046","0.1744688317865046","0.1744688317865046","0.21621621622389656","0.21621621622389656","0.21621621622389656"
"30","0.5094161590969511","0.5094161590969511","0.5094161590969511","0.4931965554817199","0.4931965554817199","0.4931965554817199","0.3306052802828816","0.3306052802828816","0.3306052802828816","0.2547245078660327","0.2547245078660327","0.2547245078660327","0.2263650587480448","0.2263650587480448","0.2263650587480448"
"40","0.6179299575049776","0.6179299575049776","0.6179299575049776","0.6691768518919416","0.6691768518919416","0.6691768518919416","0.32698065088831874","0.32698065088831874","0.32698065088831874","0.12158606680951367","0.12158606680951367","0.12158606680951367","0.22901429975814677","0.22901429975814677","0.22901429975814677"
"50","0.5615361835001232","0.5615361835001232","0.5615361835001232","0.5257806398294392","0.5257806398294392","0.5257806398294392","0.39056021730024715","0.39056021730024715","0.39056021730024715","0.15753915473190871","0.15753915473190871","0.15753915473190871","0.22995746074271195","0.22995746074271195","0.22995746074271195"
"60","0.49376812573576495","0.49376812573576495","0.49376812573576495","0.6428601833162074","0.6428601833162074","0.6428601833162074","0.22423775282447111","0.22423775282447111","0.22423775282447111","0.28696843954735696","0.28696843954735696","0.28696843954735696","0.2326393607573325","0.2326393607573325","0.2326393607573325"
"70","0.470574168472876","0.470574168472876","0.470574168472876","0.7079656277210802","0.7079656277210802","0.7079656277210802","0.3839618573773024","0.3839618573773024","0.3839618573773024","0.25081698705906275","0.25081698705906275","0.25081698705906275","0.2270074354518068","0.2270074354518068","0.2270074354518068"
"80","0.5598514757718945","0.5598514757718945","0.5598514757718945","0.5820079218787247","0.5820079218787247","0.5820079218787247","0.4103434908678188","0.4103434908678188","0.4103434908678188","0.23108111784788707","0.23108111784788707","0.23108111784788707","0.23244160894729565","0.23244160894729565","0.23244160894729565"
"90","0.5422552307166179","0.5422552307166179","0.5422552307166179","0.7084109733995994","0.7084109733995994","0.7084109733995994","0.31597562008242264","0.31597562008242264","0.31597562008242264","0.14131338414942154","0.14131338414942154","0.14131338414942154","0.233685755450944","0.233685755450944","0.233685755450944"
"100","0.6019936781997801","0.6019936781997801","0.6019936781997801","0.650879665449349","0.650879665449349","0.650879665449349","0.3419992772556467","0.3419992772556467","0.3419992772556467","0.19186493388201575","0.19186493388201575","0.19186493388201575","0.2337568306101093","0.2337568306101093","0.2337568306101093"
"110","0.5589879608189138","0.5589879608189138","0.5589879608189138","0.728694887254402","0.728694887254402","0.728694887254402","0.41923526901167396","0.41923526901167396","0.41923526901167396","0.14168765381377557","0.14168765381377557","0.14168765381377557","0.2329426313330553","0.2329426313330553","0.2329426313330553"
"120","0.6002801870395796","0.6002801870395796","0.6002801870395796","0.5488462294503068","0.5488462294503068","0.5488462294503068","0.409894577951148","0.409894577951148","0.409894577951148","0.21074316565825554","0.21074316565825554","0.21074316565825554","0.23252738445938856","0.23252738445938856","0.23252738445938856"
"130","0.5692576699061999","0.5692576699061999","0.5692576699061999","0.6482093800255049","0.6482093800255049","0.6482093800255049","0.3889234749995905","0.3889234749995905","0.3889234749995905","0.22362336900873137","0.22362336900873137","0.22362336900873137","0.23474140484967607","0.23474140484967607","0.23474140484967607"
"140","0.5650975689332918","0.5650975689332918","0.5650975689332918","0.650260159892191","0.650260159892191","0.650260159892191","0.3802854841720586","0.3802854841720586","0.3802854841720586","0.18221933861840917","0.18221933861840917","0.18221933861840917","0.2347530412725178","0.2347530412725178","0.2347530412725178"
"150","0.5855561842656953","0.5855561842656953","0.5855561842656953","0.5705424601470991","0.5705424601470991","0.5705424601470991","0.39919822820211015","0.39919822820211015","0.39919822820211015","0.2154711567178379","0.2154711567178379","0.2154711567178379","0.23456908084222014","0.23456908084222014","0.23456908084222014"
"160","0.5890238627457395","0.5890238627457395","0.5890238627457395","0.6713938101389597","0.6713938101389597","0.6713938101389597","0.37558060614217254","0.37558060614217254","0.37558060614217254","0.21323920869581842","0.21323920869581842","0.21323920869581842","0.2347311217542118","0.2347311217542118","0.2347311217542118"
"170","0.5955527183764654","0.5955527183764654","0.5955527183764654","0.6329202825505733","0.6329202825505733","0.6329202825505733","0.36215734122239024","0.36215734122239024","0.36215734122239024","0.20890694467110035","0.20890694467110035","0.20890694467110035","0.23368392297042226","0.23368392297042226","0.23368392297042226"
"180","0.5860838744886315","0.5860838744886315","0.5860838744886315","0.6717025827951969","0.6717025827951969","0.6717025827951969","0.36161341157826377","0.36161341157826377","0.36161341157826377","0.18136298896444725","0.18136298896444725","0.18136298896444725","0.23463975848803473","0.23463975848803473","0.23463975848803473"
